Horror Wiki Index,char index,actor,character,stripped character
849,0,Kevin Sorbo,Redd,redd
849,1,Nina Dobrev,Loren Hansett,loren hansett
849,2,Peter Stebbings,Jared Martin,jared martin
849,3,Melanie Leishman,Angie Bremlock,angie bremlock
849,4,Billy Otis,Charles Pope,charles pope
849,5,Sean O'Neill,Steven Kepkie,steven kepkie
849,6,Anwar Knight,Talk show host,talk show host
849,7,Kelly Fiddick,Clerk,clerk
849,8,Greg Calderone,Guy Taylor,guy taylor
849,9,Spencer Van Wyck,Kyle Hansett,kyle hansett
1241,0,Anya Taylor-Joy,Illyana Rasputin / Magik,illyana rasputin magik
1241,1,Maisie Williams,Rahne Sinclair / Wolfsbane,rahne sinclair wolfsbane
1241,2,Charlie Heaton,Charlie Heaton,charlie heaton
1241,3,Henry Zaga,Roberto da Costa / Sunspot,roberto da costa sunspot
1241,4,Blu Hunt,Danielle Moonstar / Mirage,danielle moonstar mirage
1241,5,Alice Braga,Alice Braga,alice braga
172,0,Roz Kelly,Diane Sullivan,diane sullivan
172,1,Kip Niven,Richard Sullivan,richard sullivan
172,2,Chris Wallace,Lt. Clayton,lt clayton
172,3,Grant Cramer,Derek Sullivan,derek sullivan
172,4,Louisa Moritz,Sally,sally
172,5,Jed Mills,Ernie,ernie
172,6,Taaffe O'Connell,Jane,jane
172,7,Jon Greene,Sgt. Greene,sgt greene
172,8,John Alderman,Dr. Reed,dr reed
172,9,Richard Brown,Swamper,swamper
172,10,Teri Copley,Teenage Girl,teenage girl
172,11,Tim Cutt,Ambulance Attendant,ambulance attendant
172,12,Richard Kalk,Policeman,policeman
172,13,Mark L. Rosen,Drunk,drunk
172,14,Julie Kaye Towery,Space Girl,space girl
560,0,Miguel Ferrer,Richard Dees,richard dees
560,1,Julie Entwisle,Katherine Blair,katherine blair
560,2,Dan Monahan,Merton Morrison,merton morrison
560,3,Michael H. Moss,Dwight Renfield,dwight renfield
560,4,John Bennes,Ezran Hannone,ezran hannone
560,5,Beverly Skinner,Selida McCamon,selida mccamon
560,6,Rob Wilds,Buck Kendall,buck kendall
560,7,Richard K. Olsen,Clarke Bowie,clarke bowie
