Horror Wiki Index,char index,actor,character,stripped character,killed
644,14,Ray Panthaki,Private Bedford,private bedford,N/A
644,15,Christopher Eccleston,Major Henry West,major henry west,N/A
644,16,Sanjay Rambaruth,Private Davis,private davis,N/A
644,17,Marvin Campbell,Private Mailer,private mailer,N/A
788,0,Robert Carlyle,Don Harris,don harris,N/A
788,1,Rose Byrne,Scarlet,scarlet,N/A
788,2,Jeremy Renner,Doyle,doyle,N/A
788,3,Amanda Walker,Sally,sally,N/A
788,4,Shahid Ahmed,Jacob,jacob,N/A
788,5,Harold Perrineau,Flynn,flynn,N/A
788,6,Catherine McCormack,Alice Harris,alice harris,N/A
788,7,Garfield Morgan,Geoff,geoff,N/A
788,8,Emily Beecham,Karen,karen,N/A
