Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
4427,Highway 91,2011.0,"A group of zombie apocalypse survivors try to get to a rumored sanctuary, on the way however they must face serial killers, religious cults and each other!",Sonny Fernandez,"Liz Dockter, Sonny Fernandez, William Conner Fox, Kim Haarman",highway 91,,
4428,Bone Cave,2011.0,"T Rad and Mike are two college slackers who devise a clever scheme to throw a gigantic rave to end all raves. With the help of a sexy, seductive Annora, they secure a remote cave for the ...                See full summary »",Matthew Brooks,"Justin Rose, Jeremy Jusek, Andrew Hartl, Robyn Wheeler",bone cave,,
4429,Red Riding Hood,2011.0,"Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.",Catherine Hardwicke,"Amanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke",red riding hood,952.0,/wiki/Red_Riding_Hood
4430,The Walk with Darkness,2011.0,Add a Plot,Anthony Lamarr,"Russel Minton, Jason Obrien, Kelly Willis, Ryan Wickerham",walk with darkness,,
4431,Shuddersome,2011.0,"Angela Becker enters the house of her recently deceased Aunt Millie after being contacted by estate lawyer Robert Wallace. Once there, she begins to realize the dark secrets hidden within. ...                See full summary »",Ryan Willer,"Kelli Ann Simpson, Billy Ray, Matt Paolasso, Jonathan Kunke",shuddersome,,
4432,The Innkeepers,2011.0,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.",Ti West,"Sara Paxton, Pat Healy, Kelly McGillis, Alison Bartlett",innkeepers,,
4433,Howling Moon,2011.0,A paranormal researcher is drawn into a world of mystery when her boyfriend takes her to an abandoned farm house.,Damon Blalack,"Colleen Elizabeth Miller, Michael Remington, Carl Buffington, Dan Amen",howling moon,,
4434,The Divide,2011.0,"Survivors of a nuclear attack are grouped together for days in the basement of their apartment building, where fear and dwindling supplies wear away at their dynamic.",Xavier Gens,"Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance",divide,958.0,/wiki/The_Divide
4435,Detention,2011.0,"As a copycat killer named after movie villain Cinderhella stalks the student body at Grizzly Lake High School, a group of co-eds band together to survive while serving detention.",Joseph Kahn,"Josh Hutcherson, Shanley Caswell, Spencer Locke, Dane Cook",detention,940.0,/wiki/Detention
4436,My Sucky Teen Romance,2011.0,"In this witty comedy from teen director Emily Hagins, young Kate visits a local comic convention and falls for good-hearted vampire Paul, but her friends are worried when she suddenly starts displaying eerie, undead qualities of her own.",Emily Hagins,"Elaine Hurt, Patrick Delgado, Santiago Dietche, Lauren Lee",my sucky teen romance,,
4437,Deep Seeded,2011.0,"While trying to pick up the pieces of their shattered lives as a result of their mother's untimely and unexpected demise, Lauren (Janine Anzalone) and Ashley (Little Italy), find themselves...                See full summary »","Johnna Troxell, Brian Troxell, Jaime Meyers","Kam Lee, Janine Anzalone, Little Italy, Lori Pheneuf Jackson",deep seeded,,
4438,Revived,2011.0,After trespassing at an abandoned house a pair of friends become increasingly tormented by a restless spirit.,"Thomas Petahtegoose, Chris Escorrega","Chris Escorrega, Thomas Petahtegoose, Lalada Escorrega",revived,,
4439,The Angels of Death,2011.0,Add a Plot,Menetie T. Ejeye,"Menetie T. Ejeye, Les Feltmate, Tammy Garrett, Taleia Gilliam",angels of death,,
4440,Acrylic Midnight,2011.0,Add a Plot,Joseph Schmalke,"Adriana DeMeo, Christopher Drescher, Kate Gentil, Joey Goldthwaite",acrylic midnight,,
4441,Hellraiser: Revelations,2011.0,Two college friends unwittingly release Pinhead and his minions.,Víctor García,"Jolene Andersen, Steven Brand, Dan Buran, Camelia Dee",hellraiser revelations,946.0,/wiki/Hellraiser:_Revelations
4442,Children of the Corn: Genesis,2011.0,A young couple try to free an imprisoned child with catastrophic results.,Joel Soisson,"J.J. Banicki, Diane Peterson, Kai Caster, Kelen Coleman",children of corn genesis,939.0,/wiki/Children_of_the_Corn:_Genesis_(2011)
4443,The Collective,2011.0,Add a Plot,"Cameron Scott, Eric Schneider, Dakota Meyer, James Mannan, Chris Jay, Jason Hoover, Shannon Feaster, D.P. Bonnell, Thomas Berdinski","Sammy Clark, Kitsie Duncan, John Haney, Mike Nall",collective,,
4444,Redemption of the Undead,2011.0,"When Chase discovers that he can't make up for past mistakes, he must accept the responsibility of existing in life after death.",Matt Somerville,"Chase Smith, Eric Schafer, Michelle Carter, James Gilbreth",redemption of undead,,
4445,Lucidity,2011.0,What starts out as a simple weekend camping turns into something no one could have expected as three couples trying to get away from their lives find themselves tangled in an ever-changing world of deceit and the unexplained.,Christopher P. Smith,"Jason Burghorn, Heather Wikstrom, Bjorn Jiskoot Jr., Michele Grey Hartsoe",lucidity,,
4446,After Party Massacre,2011.0,"Scarlett is a fan who enters a live performance by two heavy metal bands called Incantation and Soulless. While she has a physical altercation with her former boyfriend, she has flashbacks ...                See full summary »","Kyle Severn, Kristoff Bates",Grindhead Jim Deabenderfer,after party massacre,,
