Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
627,A Night to Dismember,1983.0,"A woman from a ""cursed"" family is released from a mental facility, and soon dismembered corpses start turning up.",Doris Wishman,"Samantha Fox, Diane Cummins, Saul Meth, Miriam Meth",a night to dismember,,
628,The Demons of Ludlow,1983.0,A murderous demon lurks inside an antique piano in a picturesque coastal town.,Bill Rebane,"Paul Bentzen, Stephanie Cushna, Carol Perry, C. Dave Davis",demons of ludlow,,
629,Hanging Heart,1983.0,"Denny is a struggling actor whose girlfriend's dead body is found in the theater where they have been preparing for their new production. Being one of many suspects, Denny must track down ...                See full summary »",Jimmy Lee,"Barry Wyatt, Jake Henry, Francine Lapensée, John Stevens",hanging heart,,
630,The Passing,1983.0,"Two elderly World War II buddies are living - and dying - together in their small home. One becomes a patient where salvage-worthy, older attributes are combined with useable, younger body parts. He returns, unrecognized by the other.",John Huckert,"James Carroll Plaster, Welton Benjamin Johnson, John Huckert, Lynn Odell",passing,,
631,The Enchanted,1983.0,"Royce Hagan returns from the sea to claim and inhabit a 2000 acre ranch in one of the last wild places left in central Florida. An old family friend, Booker T Robertson, welcomes him, then ...                See full summary »",Carter Lord,"Julius Harris, Will Sennett, Casey Blanton, Helen Blanton",enchanted,,
632,The Power,1984.0,"A few people come into possession of an ancient Aztec doll. However, the doll is possessed by an evil spirit, which takes over their bodies.","Jeffrey Obrow, Stephen Carpenter","Suzy Stokey, Warren Lincoln, Lisa Erickson, Chad Cowgill",power,,
633,Sole Survivor,1984.0,A lone survivor of a plane crash is haunted by a feeling unworthy of survival. Dead people start coming after her to collect her.,Thom Eberhardt,"Anita Skinner, Kurt Johnson, Robin Davidson, Caren L. Larkey",sole survivor,,
634,Boggy Creek II: And the Legend Continues,1984.0,A professor and three of his students camp out in the wilderness to find a Bigfoot-type creature.,Charles B. Pierce,"Charles B. Pierce, Cindy Butler, Chuck Pierce Jr., Jimmy Clem",boggy creek ii and legend continues,,
635,Children of the Corn,1984.0,A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.,Fritz Kiersch,"Peter Horton, Linda Hamilton, R.G. Armstrong, John Franklin",children of corn,264.0,/wiki/Children_of_the_Corn_(1984)
636,Blind Date,1984.0,"A man goes blind when remembering his lost girlfriend, but the doctors can't find anything wrong with his eyes. They fit him with an experimental device which allows him to see with the aid...                See full summary »",Nico Mastorakis,"Joseph Bottoms, Kirstie Alley, James Daughton, Lana Clarkson",blind date,,
637,Friday the 13th: The Final Chapter,1984.0,"After being mortally wounded and taken to the morgue, murderer Jason Voorhees spontaneously revives and embarks on a killing spree as he makes his way back to his home at Camp Crystal Lake.",Joseph Zito,"Erich Anderson, Judie Aronson, Peter Barton, Kimberly Beck",friday 13th final chapter,267.0,/wiki/Friday_the_13th:_The_Final_Chapter
638,The Jar,1984.0,A motorist who comes upon an auto accident finds a bottle at the scene. The bottle contains a demon who proceeds to possess him.,Bruce Toscano,"Gary Wallace, Karin Sjöberg, Robert Gerald Witt, Dean Schoepter",jar,,
639,The Initiation,1984.0,An amnesiac sorority member who has been plagued by a recurring nightmare is stalked alongside other coeds by a killer in a deserted department store where they are completing a hazing ritual.,"Peter Crane, Larry Stewart","Vera Miles, Clu Gulager, Daphne Zuniga, James Read",initiation,,
640,They're Playing with Fire,1984.0,"A married college professor decides to seduce her student, whom she hired as a handyman for her yacht. The hesitant student succumbs to his buxom professor, but their romance is interrupted by her corrupt husband and a masked murderer.",Howard Avedis,"Sybil Danning, Eric Brown, Andrew Prine, Paul Clemens",theyre playing with fire,,
641,Tales of the Third Dimension,1984.0,"This movie is made-up of three tales, the first one is, ""Young Blood"" it is about a married pair of vampires who adopt a child and are horrified to discover that it is another kind of ...                See full summary »","Earl Owensby, Thom McIntyre, Worth Keeter, Todd Durham","Charles Bibby, Robert Bloodworth, Kevin Campbell, Sherri Chambers",tales of third dimension,,
642,Interface,1984.0,A group of strange beings at a master computer control room use their equipment to kill people by remote control.,Andy Anderson,"John S. Davies, Lauren Lane, Matthew Sacks, Michael Hendrix",interface,,
643,Firestarter,1984.0,A couple who participated in a potent medical experiment gain telepathic ability and then have a child who is pyrokinetic.,Mark L. Lester,"Drew Barrymore, David Keith, Freddie Jones, Heather Locklear",firestarter,266.0,/wiki/Firestarter_(1984)
644,The Toxic Avenger,1984.0,Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.,"Lloyd Kaufman, Michael Herz","Andree Maranda, Mitch Cohen, Jennifer Babtist, Cindy Manion",toxic avenger,,
645,Junior,1984.0,Ceil and Enis are a happy if wacky female couple until giant baby son Junior (who sports a mustache but fits in his crib just dandy) develops a fondness for hot dogs and other symbols of ...                See full summary »,Marcy Hedy Lynn,"Cheri Pugh, Stuart Graff, Frank DeCaro",junior,,
646,Gremlins,1984.0,A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, John Louie",gremlins,268.0,/wiki/Gremlins
647,The Lost Empire,1984.0,"Seeking revenge, officer Angel Wolfe, her Native American friend Whitestar, and outlaw Heather infiltrate a fortified island where an undead wizard and his evil cult force captured women to take part in gladiatorial tournaments.",Jim Wynorski,"Melanie Vincz, Raven De La Croix, Angela Aames, Paul Coufos",lost empire,,
648,The Hills Have Eyes Part II,1984.0,"A group of bikers, heading to a race, become stranded in the desert and find themselves fighting off a family of inbred cannibals who live off the land.",Wes Craven,"Robert Houston, David Nichols, Virginia Vincent, James Whitworth",hills have eyes part ii,,
649,Mutant,1984.0,"Two brothers discover that the residents of a small Southern town are being infected by a form of toxic waste, turning them into blood-ravenous zombies.","Mark Rosman, John 'Bud' Cardos","Wings Hauser, Bo Hopkins, Jody Medford, Lee Montgomery",mutant,,
650,Splatter University,1984.0,A sociology instructor finds her new teaching duties at a private college interrupted by the presence of a killer mental hospital patient.,Richard W. Haines,"Forbes Riley, Ric Randig, Dick Biel, Kathy LaCommare",splatter university,275.0,/wiki/Splatter_University
651,Disconnected,1984.0,"Alicia has started getting these very noisy, and disturbing phone calls. The question is, are they real, or is it all in her head?",Gorman Bechard,"Frances Raines, Mark Walker, Carl Koch, Professor Morono",disconnected,,
652,Dreamscape,1984.0,A young psychic on the run from himself is recruited by a government agency experimenting with the use of the dream-sharing technology and is given the inverse task of planting an idea into the mind of the U.S. president.,Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer, Eddie Albert",dreamscape,,
653,The Dungeonmaster,1984.0,"A demonic wizard challenges a modern-day computer programmer to a battle of technology vs. sorcery, with the programmer's girlfriend as the prize.","Rosemarie Turko, Ted Nicolaou, Peter Manoogian, Steven Ford, John Carl Buechler, Charles Band, David Allen","Jeffrey Byron, Richard Moll, Leslie Wing, Gina Calabrese",dungeonmaster,,
654,C.H.U.D.,1984.0,A bizarre series of sudden disappearances on the streets of New York City seems to point toward something unsavory living in the sewers.,Douglas Cheek,"John Heard, Daniel Stern, Christopher Curry, Kim Greist",c h u d,263.0,/wiki/C.H.U.D.
655,Fall Break,1984.0,A teenager who accidentally committed matricide finds himself being hunted together with his girlfriend and mates by his now crazed father.,"John Douglass, Buddy Cooper","Matt Mitler, Ruth Martinez, Bill Hitchcock, Connie Rogers",fall break,,
656,Impulse,1984.0,"After a small earthquake in a tiny, quiet town, local citizens start to exhibit bizarre, violent and self-destructive behaviour.",Graham Baker,"Tim Matheson, Meg Tilly, Hume Cronyn, John Karlen",impulse,,
657,Rocktober Blood,1984.0,A crazed rock singer returns from the dead to murder members of his former band.,Beverly Sebastian,"Tray Loren, Donna Scoggins, Cana Cockrell, Renee Hubbard",rocktober blood,,
658,Silent Madness,1984.0,"After a computer glitch accidentally releases a homicidal maniac, his doctor and some hospital staff track a trail of bodies to the sorority house where the killer committed his earlier crimes.",Simon Nuchtern,"Belinda Montgomery, Viveca Lindfors, Solly Marx, Sydney Lassick",silent madness,,
659,Blood Suckers from Outer Space,1984.0,Farmers in Texas become brainwashed bloodsuckers.,Glen Coburn,"Dan Gallion, Thom Meyers, Charles Coburn, Christopher Heldman",blood suckers from outer space,,
660,A Nightmare on Elm Street,1984.0,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon",a nightmare on elm street,262.0,/wiki/A_Nightmare_on_Elm_Street_(1984)
661,Ghoulies,1984.0,"A young man and his girlfriend move into an old mansion home, where he becomes possessed by a desire to control ancient demons.",Luca Bercovici,"Peter Liapis, Lisa Pelikan, Michael Des Barres, Jack Nance",ghoulies,,
662,"Silent Night, Deadly Night",1984.0,"Little Billy witness his parents getting killed by Santa after being warned by his senile grandpa that Santa punishes those who are naughty. Now Billy is 18, and out of the orphanage, and he has just become Santa, himself.",Charles E. Sellier Jr.,"Lilyan Chauvin, Gilmer McCormick, Toni Nero, Robert Brian Wilson",silent night deadly night,274.0,"/wiki/Silent_Night,_Deadly_Night"
663,Night of the Comet,1984.0,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists.",Thom Eberhardt,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran, Sharon Farrell",night of comet,,
664,Special Effects,1984.0,A director makes a movie based on a murder he committed.,Larry Cohen,"Zoë Lund, Eric Bogosian, Brad Rijn, Kevin O'Connor",special effects,,
665,What Waits Below,1984.0,The U.S. government has been using deep caves in Central America as bases for a special type of radio transmitter used for communicating with submaries. When the signal from one of these ...                See full summary »,Don Sharp,"Robert Powell, Timothy Bottoms, Lisa Blount, Richard Johnson",what waits below,,
666,Zombie Island Massacre,1984.0,"Americans on vacation in the Caribbean take a tour of a nearby island at night and watch a local voodoo ritual. Soon after, they find themselves stranded on the island and under attack by unseen foes. One by one they meet violent ends.",John Carter,"David Broadnax, Rita Jenrette, Tom Cantrell, Diane Clayre Holub",zombie island massacre,,
667,Vultures,1984.0,"A dying wealthy patriarch, Ramon summons his relatives to his bedside, setting the tone for intriguing suspense when a bizarre set of murders occurs. The terror begins with the arrival of ...                See full summary »",Paul Leder,"Stuart Whitman, Yvonne De Carlo, Aldo Ray, Greg Mullavey",vultures,,
668,Fatal Games,1984.0,A mad javelin thrower kills teenagers in the school. All promising athletes are executed in the most brutal way. Especially naked girls in dressing-rooms or saunas.,Michael Elliot,"Sally Kirkland, Lynn Banashek, Sean Masterson, Michael O'Leary",fatal games,,
669,Frankenstein's Great Aunt Tillie,1984.0,The descendants of Baron Frankenstein return to the family castle to search for the family fortune that is supposed to be hidden there.,Myron J. Gold,"Donald Pleasence, Yvonne Furneaux, June Wilkinson, Miguel Ángel Fuentes",frankensteins great aunt tillie,,
670,Monster Dog,1984.0,A rock star returns to his childhood home to shoot a music video while a pack of wild dogs are on the loose killing off the local residents.,Claudio Fragasso,"Alice Cooper, Victoria Vera, Carlos Santurio, Pepa Sarsa",monster dog,269.0,/wiki/Monster_Dog
671,Combat Shock,1984.0,"A dangerously disturbed Vietnam veteran struggles with life 15 years after his return home, and slowly falls into insanity from his gritty urban lifestyle.",Buddy Giovinazzo,"Rick Giovinazzo, Veronica Stork, Mitch Maglio, Asaph Livni",combat shock,,
672,Blood Theatre,1984.0,An old movie house plagued with a history of unexplained tragedies is reopened with bloody history repeating itself,Rick Sloane,"Mary Woronov, Jenny Cunningham, Jonathan Blakely, Andrew Cofrin",blood theatre,,
673,Shadows Run Black,1984.0,"A detective investigates a series of killings committed by a serial killer known as ""The Black Angel."" He begins to suspect that it might not be just a random group of murders.",Howard Heard,"Elizabeth Trosper, William J. Kulzer, Shea Porter, George Engelson",shadows run black,,
674,The Dark Side of Midnight,1984.0,A small town is terrorized by a homicidal maniac known as The Creeper.,Wes Olsen,"James F. Moore, Wes Olsen, Sandy Schimmel, Dave Bowling",dark side of midnight,,
675,Dimension,1984.0,Add a Plot,Leon Armand,"Steve Morrell, Dominique Harris, Yoshiko Kam, Don Schmidt",dimension,,
676,Carnage,1984.0,"Carol and Jonathan, a newlywed couple, move into their new house which is haunted by the ghosts of another newlywed couple who commited suicide in the house three years earlier.",Andy Milligan,"Deeann Veeder, Chris Georges, Leslie Den Dooven, Michael Chiodo",carnage,,
677,The Devil's Gift,1984.0,An evil demon that inhabits a monkey doll takes over the mind of a suburban housewife to carry out its plans.,Kenneth J. Berton,"Bob Mendelsohn, Vicki Saputo, Struan Robertson, Bruce Parry",devils gift,,
678,Satan's Blade,1984.0,Guests at a mountain ski resort are terrorized by a local possessed by the vengeful spirit of an ancient Native mountain man.,L. Scott Castillo Jr.,"Tom Bongiorno, Stephanie Leigh Steel, Thomas Cue, Elisa R. Malinovitz",satans blade,,
679,The Game,1984.0,"Three bored millionaires gather nine people in an old mansion, and give them a proposition--if they can meet and conquer their biggest fears, they'll get one million dollars in cash.",Bill Rebane,"Tom Blair, Jim Iaquinta, Carol Perry, Wally Flaherty",game,,
680,Satan's Touch,1984.0,"A struggling grocery-store owner makes a deal with Satan that gives him the power to gamble in Las Vegas and Atlantic City casinos without losing. However, his deal is threatened with ...                See full summary »",John D. Goodell,"Don Amendolia, Lou Bellamy, David Chase, Mike Clifford",satans touch,,
681,The New Kids,1985.0,"A brother and sister arrive in a small town to help their relatives run an amusement park, and they find the town is terrorized by a local street gang.",Sean S. Cunningham,"Shannon Presby, Lori Loughlin, James Spader, John Philbin",new kids,,
682,Screamplay,1985.0,A detective investigating a series of murders discovers that they are similar to the slayings that occur in the new script of a Hollywood screenwriter.,Rufus Butler Seder,"Rufus Butler Seder, Eugene Seder, Cheryl Hirshman, James McCann",screamplay,,
683,Friday the 13th: A New Beginning,1985.0,"Still haunted by his past, Tommy Jarvis - who, as a child, killed Jason Voorhees - wonders if the serial killer is connected to a series of brutal murders occurring in and around the secluded halfway house where he now lives.",Danny Steinmann,"Melanie Kinnaman, John Shepherd, Anthony Barrile, Suzanne Bateman",friday 13th a new beginning,282.0,/wiki/Friday_the_13th:_A_New_Beginning
684,The Stuff,1985.0,"A delicious, mysterious goo that oozes from the earth is marketed as the newest dessert sensation, but the tasty treat rots more than teeth when zombie-like snackers who only want to consume more of the strange substance at any cost begin infesting the world.",Larry Cohen,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino",stuff,294.0,/wiki/The_Stuff
685,Creature,1985.0,"An expedition to Titan uncovers an alien being, that goes on a rampage.",William Malone,"Stan Ivar, Wendy Schaal, Lyman Ward, Robert Jaffe",creature,279.0,/wiki/Creature_(1985)
686,Cat's Eye,1985.0,A stray cat is the linking element of three tales of suspense and horror.,Lewis Teague,"Drew Barrymore, James Woods, Alan King, Kenneth McMillan",cats eye,278.0,/wiki/Cat%27s_Eye_(1985)
687,Crimewave,1985.0,"A pair of whacked-out cartoon-like exterminator/hitmen kill the owner of a burglar-alarm company, and stalk the partner who hired them, his wife, and a nerd framed for the murder, who tells the story in flashback from the electric chair.",Sam Raimi,"Louise Lasser, Brion James, Paul L. Smith, Sheree J. Wilson",crimewave,,
688,The Return of the Living Dead,1985.0,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",Dan O'Bannon,"Clu Gulager, James Karen, Don Calfa, Thom Mathews",return of living dead,292.0,/wiki/The_Return_of_the_Living_Dead_(1985)
689,Hellhole,1985.0,"A young woman becomes amnesiac after an attack by a hired killer. She's admitted to a mental asylum run by a ruthless doctor who experiments on her patients with a lethal drug, and her attacker just got employed there.",Pierre De Moro,"Ray Sharkey, Judy Landers, Marjoe Gortner, Richard Cox",hellhole,,
690,Return,1985.0,"After reading an article about hypnotic regression, a woman whose maternal grandfather died when she was only three years old contacts the hypnotic subject named in the article believing ...                See full summary »",Andrew Silver,"Ariel Aberg-Riger, Lee Stetson, Karlene Crockett, Lenore Zann",return,,
691,Re-Animator,1985.0,"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale",re animator,291.0,/wiki/Re-Animator
692,Night Train to Terror,1985.0,God and Satan are on a train discussing the fate of three individuals. The stories of the people in question are told in a trio of very strange vignettes. One involves an insane asylums ...                See full summary »,"Gregg G. Tallas, Jay Schlossberg-Cohen, Tom McGowan, Phillip Marshak, John Carr","Barbara Wyler, Jamie Scoggin, Stacey Lyons, Linda Maderas",night train to terror,289.0,/wiki/Night_Train_to_Terror
693,Future-Kill,1985.0,"The star of ""The Texas Chainsaw Massacre"" returns in a story about frat boys lost in the big city while hunted by a violent leader and his elite gang of gun-happy guards.",Ronald W. Moore,"Edwin Neal, Marilyn Burns, Gabriel Folse, Wade Reese",future kill,,
694,The Oracle,1985.0,Murder victim's spirit reaches out from beyond the grave in an attempt to possess the body of a young woman who has moved into his old apartment.,Roberta Findlay,"Caroline Capers Powers, Roger Neil, Pam La Testa, Victoria Dryden",oracle,,
695,Lifeforce,1985.0,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",Tobe Hooper,"Steve Railsback, Mathilda May, Peter Firth, Frank Finlay",lifeforce,288.0,/wiki/Lifeforce
696,Return to Oz,1985.0,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful.",Walter Murch,"Fairuza Balk, Nicol Williamson, Jean Marsh, Piper Laurie",return to oz,,
697,Terror in the Swamp,1985.0,"In an effort to create the perfect nutria for breeding by the fur industry, a scientist and his assistant inadvertently create a brutal mutation that escapes into the nearby swamps.","Martin Folse, Joe Catalanotto","Keith Barker, Chuck Bush, Gerald Daigal, Albert Dyket",terror in swamp,,
698,Blackout,1985.0,A police officer suspects that a local husband and father who has recently undergone facial surgery because of injuries received in a car accident is in reality the same man who committed a...                See full summary »,Douglas Hickox,"Keith Carradine, Kathleen Quinlan, Richard Widmark, Michael Beck",blackout,,
699,Day of the Dead,1985.0,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy",day of dead,280.0,/wiki/Day_of_the_Dead_(1985)
700,Fright Night,1985.0,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",Tom Holland,"Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall",fright night,283.0,/wiki/Fright_Night_(1985)
701,The Bride,1985.0,"After years of research, the doctor finally succeeds in creating the perfect woman, who gets the name ""Eva"".",Franc Roddam,"Sting, Jennifer Beals, Anthony Higgins, Clancy Brown",bride,277.0,/wiki/The_Bride_(1985)
702,Hard Rock Zombies,1985.0,"A freshly-out-of-the-grave band of Hard Rock Zombies is thirsting to take their sweet revenge, as they give the performance of a lifetime.",Krishna Shah,"E.J. Curse, Geno Andrews, Sam Mann, Mick McMains",hard rock zombies,,
703,Howling II: ... Your Sister Is a Werewolf,1985.0,"A man discovers that his sister was a werewolf, and helps an investigator track down a gang of the monsters through the United States and eastern Europe.",Philippe Mora,"Christopher Lee, Annie McEnroe, Reb Brown, Marsha A. Hunt",howling ii your sister is a werewolf,287.0,/wiki/Howling_II:_Your_Sister_Is_a_Werewolf
704,Biohazard,1985.0,Alien monster uses a psychic to try to take over the earth.,Fred Olen Ray,"Aldo Ray, Angelique Pettyjohn, William Fair, David O'Hara",biohazard,,
705,Tenement,1985.0,A drug selling and violent street-gang terrorize the renters of a big trashy apartment-house.,Roberta Findlay,"Joe Lynn, Mina Bern, Walter Bryant, Corinne Chateau",tenement,,
706,Silver Bullet,1985.0,"In a small town, brutal killings start to plague the close knit community. Marty Coslaw, a paraplegic boy, is convinced the murders are the doings of a werewolf.",Daniel Attias,"Gary Busey, Everett McGill, Corey Haim, Megan Follows",silver bullet,293.0,/wiki/Silver_Bullet
707,Thou Shalt Not Kill... Except,1985.0,"Jack Stryker took two bullets in the leg in Vietnam and was carried back by one of his men. When he returns he tries to live a peaceful life in his cabin and resume dating his girlfriend, ...                See full summary »",Josh Becker,"Robert Rickman, John Manfredi, Timothy Patrick Quill, Sam Raimi",thou shalt not kill except,,
708,They Don't Cut the Grass Anymore,1985.0,"Two Texas gardeners, who object to Northern attitudes and lifestyles, venture northward to cut lawns, trim hedges, and murder and mutilate Northern Yuppies.",Nathan Schiff,"John Smihula, Adam Berke, Mary Spadaro, Leanna Mangiarano",they dont cut grass anymore,,
709,Evils of the Night,1985.0,"Vacationing teens are systematically kidnapped and taken to a strange, rural hospital, run by a mysterious group that needs their blood.",Mardi Rustam,"Neville Brand, Aldo Ray, Tina Louise, John Carradine",evils of night,,
710,Appointment with Fear,1985.0,A man under the influence of an ancient Egyptian curse uses astral projection to kill those who protect his baby son from him. A woman and a shady cop try to stop him before he can get to the child and transfer the curse.,Ramsey Thomas,"Michele Little, Michael Wyle, Kerry Remsen, Douglas Rowe",appointment with fear,,
711,Eternal Evil,1985.0,A director of TV commercials learns about astral projection. He has out of body experiences during his sleep and his dad in law and doctor die mysteriously.,George Mihalka,"Winston Rekert, Karen Black, John Novak, Patty Talbot",eternal evil,,
712,A Nightmare on Elm Street 2: Freddy's Revenge,1985.0,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",Jack Sholder,"Robert Englund, Mark Patton, Kim Myers, Robert Rusler",a nightmare on elm street 2 freddys revenge,276.0,/wiki/A_Nightmare_on_Elm_Street_2:_Freddy%27s_Revenge_(1985)
713,Transylvania 6-5000,1985.0,"Two reporters for a tabloid newspaper are sent to Transylvania to find the Frankenstein monster, or get fired. They are laughed at there, but something suspicious is going on. Could there be monsters, vampires, mummies and werewolves?",Rudy De Luca,"Jeff Goldblum, Joseph Bologna, Ed Begley Jr., Carol Kane",transylvania 6,,
714,Confessions of a Serial Killer,1985.0,"After being arrested, a Texas man begins confessing to the brutal murder of over 200 women. He recounts his random selection of victims and his traveling companions, his friend and friend's...                See full summary »",Mark Blair,"Robert A. Burns, Dennis Hill, Berkley Garrett, Sidney Brammer",confessions of a serial killer,,
715,Once Bitten,1985.0,"A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall.",Howard Storm,"Lauren Hutton, Jim Carrey, Karen Kopins, Cleavon Little",once bitten,,
716,House,1985.0,A troubled writer moves into a haunted house after inheriting it from his aunt.,Steve Miner,"William Katt, Kay Lenz, George Wendt, Richard Moll",house,,
717,Attack of the Beast Creatures,1985.0,"Survivors of a shipwreck wash up on an island, and run into small vicious creatures.",Michael Stanley,"Robert Nolfi, Julia Rust, Robert Lengyel, Lisa Pak",attack of beast creatures,,
718,Horror House on Highway Five,1985.0,A van full of college students traveling down a highway is terrorized by a psycho killer in a Richard Nixon mask.,Richard Casey,"Phil Therrien, Max Manthey, Irene Cagen, Michael Castagnolia",horror house on highway five,,
719,Igor and the Lunatics,1985.0,"After 16 years in prison, Igor and his gang are out and bent on taking revenge on the town that sent them up.",W.J. Parolini,"Joseph Eero, Mary Ann Schacht, Joe Niola, T.J. Glenn",igor and lunatics,,
720,Reel Horror,1985.0,Evil spirits that emerge from cans of old movie film terrorize a neighborhood.,Ross Hagen,"Alexandra, John Hayden, Howard Honig, Bob O'Neil",reel horror,,
721,The Serpent Warriors,1985.0,A zoologist is called to a construction site that has been plagued by snakes. He finds out that the place once was the ancient headquarters of a snake-worshiping cult and that the same cult...                See full summary »,"Niels Rasmussen, John Howard","Clint Walker, Eartha Kitt, Christopher Mitchum, Anne Lockhart",serpent warriors,,
722,Nomads,1985.0,"A French anthropologist specializing in nomadic groups moves to Los Angeles with his wife, and starts following a group of sinister street punks who seem to live and move around in a black van. But they aren't what they seem.",John McTiernan,"Lesley-Anne Down, Pierce Brosnan, Anna Maria Monticelli, Adam Ant",nomads,,
723,Miami Golem,1985.0,"A Miami TV reporter is sent to a local university to do a story on a professor who is cloning a cell from DNA found inside a meteorite. Soon after the reporter leaves, a gunman kills ...                See full summary »",Alberto De Martino,"David Warbeck, Laura Trotter, Loris Loddi, Giorgio Favretto",miami golem,,
724,Dead End,1985.0,An unstable filmmaker risks his crew to shoot a documentary in a town overrun with flesh-eating zombies.,Emerson Bixby,"Emerson Bixby, Rachel McBride, Melinda Pierce, Albert Stetman",dead end,,
725,Victims!,1985.0,Four young girls on a camping trip in the woods are stalked by a pair of crazed serial killers.,Jeff Hathcock,"Ava Kauffman, Robert Axelrod, Lonny Withers, Ann Richardson",victims,,
726,Bits and Pieces,1985.0,"A psychopath with a mother fixation terrorizes a city, picking out young beautiful women as his victims.",Leland Thomas,"S.E. Zygmont, Suzanna Smith, Brian Burt, Sheila Lussier",bits and pieces,,
727,Ninja Warriors,1985.0,Document-stealing killer super ninjas are up to no good. A more robust and secure records management system could have discouraged such behavior.,Teddy Page,"Ronald L. Marchini, Romano Kristoff, Paul Vance, Ken Watanabe",ninja warriors,,
728,The Dark Power,1985.0,"The spirits of dead Indians are haunting a couple's house, and they call in an exorcist, whose trademark is a black whip, to get rid of them.",Phil Smoot,"Lash La Rue, Anna Lane Tatum, Cynthia Bailey, Mary M. Dalton",dark power,,
729,Deadly Intruder,1985.0,A serial killer escapes from a mental hospital and hides out in a small town. A local cop must catch him before he starts on another killing spree.,John McCauley,"Christopher Holder, Molly Cheek, Tony Crupi, Danny Bonaduce",deadly intruder,,
730,The Strangeness,1985.0,"A group of explorers surveying an abandoned goldmine are trapped in a cave in, and find themselves at the mercy of a slimy, mysterious creature.",Melanie Anne Phillips,"Dan Lunham, Terri Berland, Rolf Theison, Keith Hurt",strangeness,,
731,Murderlust,1985.0,"A serial killer, who is actually a handsome Sunday school teacher, abducts young women and disposes their bodies in the Mojave Desert.",Donald M. Jones,"Eli Rich, Rochelle Taylor, Dennis Gannon, Bonnie Sikowitz",murderlust,,
732,Force of Darkness,1985.0,"In a parking lot, Gloria Ramsey is the powerless witness to the murder of her life partner, a physician. On the scene of the crime, the police listen to the young woman's version but ...                See full summary »",Alan Hauge,"Mel Novak, Doug Shanklin, Loren Cedar, Mark Milan",force of darkness,,
733,Fright Show,1985.0,"Two obscure film critics host four SF/Horror films: The Thing in the Basement, Illegal Alien, Nightfright, and Dr. Dobermind.","Richard Taylor, Jonathan Mostow, Frank Kerr, Jeffrey Baker, Damon Santostefano","Eddie Brill, Chris Phillips, Jennifer Jacobi, Hugh D'Autremont",fright show,,
734,Murderous Intent,1985.0,A writer who has to achieve success becomes suspicious of his beautiful young wife. He dreams about a bizarre musician and a suspect serial killer who's stalking women in the city.,Len Anthony,"Janet De Leon, Agneta Eckemyr, Duey Graham, Ron Mychal",murderous intent,,
735,Troll,1986.0,A wicked troll king in search of a mystical ring that will transform him to human form invades a San Francisco apartment complex where a powerful witch lives.,John Carl Buechler,"Michael Moriarty, Shelley Hack, Noah Hathaway, Jenny Beck",troll,322.0,/wiki/Troll
736,Bad Girls Dormitory,1986.0,Inmates at a women's prison run by a corrupt warden and her gang of sadistic guards plan a breakout.,Tim Kincaid,"Carey Zuris, Teresa Farley, Natalie Savage, Rick Gianasi",bad girls dormitory,,
737,TerrorVision,1986.0,"A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world.",Ted Nicolaou,"Diane Franklin, Mary Woronov, Gerrit Graham, Chad Allen",terrorvision,320.0,/wiki/TerrorVision
738,Girls School Screamers,1986.0,Seven college girls spend the weekend at an elegant estate which begins as a fun filled adventure but ends in a nightmare of gut-wrenching terror.,John P. Finnegan,"Mollie O'Mara, Sharon Christopher, Mari Butler, Beth O'Malley",girls school screamers,,
