Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
912,10,Joe Cobden,Dwight,dwight,,,White,Male
912,11,Zoie Palmer,Cheryl,cheryl,,http://www.nndb.com/people/638/000347594/,White,Female
912,12,Vincent Laresca,Henry,henry,,,White,Male
1048,0,Zach Gilford,Zach McCall,zach mccall,,http://www.nndb.com/people/229/000350176/,White,Male
1048,1,Allison Miller,Samantha McCall,samantha mccall,,,Unlisted,Unlisted
1048,2,Sam Anderson,Father Thomas,father thomas,,,White,Male
1048,3,Aimee Carrero,Emily,emily,,,Hispanic,Female
1048,4,Vanessa Ray,Suzie,suzie,,,Unlisted,Unlisted
1048,5,Robert Belushi,Mason,mason,,,Unlisted,Unlisted
1048,6,Michael Papajohn,Police Officer,police officer,,,White,Male
1048,7,Donna Duplantier,Dr. Ludka,dr ludka,,,White,Female
1048,8,Griff Furst,Keith,keith,,,White,Male
1049,0,Rufus Sewell,Jacob Brown,jacob brown,,http://www.nndb.com/people/378/000110048/,White,Male
1049,1,Jennifer Carpenter,Rebekah,rebekah,,http://www.nndb.com/people/801/000141378/,White,Female
1049,2,Colm Meaney,Elder Beacon,elder beacon,,http://www.nndb.com/people/992/000031899/,White,Male
1049,3,Alycia Debnam-Carey,Mary,mary,,,Unlisted,Unlisted
1049,4,Adelaide Kane,Ruth,ruth,,http://www.nndb.com/people/121/000400915/,White,Female
1049,5,Leah Pipes,Sarah,sarah,,http://www.nndb.com/people/651/000403439/,White,Female
1049,6,Thomas McDonell,Trevor,trevor,,,White,Male
1049,7,Jim McKeny,Elder Stone,elder stone,,,White,Male
1049,8,Katie Garfield,Abby,abby,,,White,Female
1049,9,Ric Reitz,Sheriff Stevens,sheriff stevens,,,White,Other
717,0,Sid Haig,Captain Spaulding,captain spaulding,,http://www.nndb.com/people/264/000130871/,White,Male
717,1,Bill Moseley,Otis B. Driftwood,otis b driftwood,,http://www.nndb.com/people/731/000131338/,White,Male
717,2,Sheri Moon Zombie,Baby Firefly,baby firefly,,http://www.nndb.com/people/194/000160711/,White,Female
717,3,Tyler Mane,Rufus T. Firefly,rufus t firefly,,http://www.nndb.com/people/193/000162704/,White,Male
717,4,William Forsythe,Sheriff John Quincey Wydell,sheriff john quincey wydell,,http://www.nndb.com/people/680/000022614/,White,Male
717,5,Ken Foree,Charlie Altamont,charlie altamont,,http://www.nndb.com/people/075/000131679/,Black,Male
717,6,Matthew McGrory,Tiny Firefly,tiny firefly,,http://www.nndb.com/people/303/000109973/,White,Male
717,7,Leslie Easterbrook,Mother Firefly,mother firefly,,http://www.nndb.com/people/561/000030471/,White,Female
717,8,Dave Sheridan,Officer Ray Dobson,officer ray dobson,,,White,Male
717,9,E.G. Daily,Candy,candy,,,Unlisted,Unlisted
717,10,Michael Berryman,Clevon,clevon,,http://www.nndb.com/people/968/000026890/,White,Male
717,11,Danny Trejo,Rondo,rondo,,http://www.nndb.com/people/112/000031019/,Hispanic,Male
717,12,Diamond Dallas Page,Billy Ray Snapper,billy ray snapper,,,Unlisted,Unlisted
717,13,Brian Posehn,Jimmy,jimmy,,http://www.nndb.com/people/299/000026221/,White,Male
717,14,Kate Norby,Wendy Banjo,wendy banjo,,,Unlisted,Unlisted
717,15,Priscilla Barnes,Gloria Sullivan,gloria sullivan,,http://www.nndb.com/people/380/000049233/,White,Female
717,16,Lew Temple,Adam Banjo,adam banjo,,,White,Male
717,17,Geoffrey Lewis,Roy Sullivan,roy sullivan,,http://www.nndb.com/people/217/000085959/,White,Male
717,18,Tom Towles,George Wydell,george wydell,,,White,Male
717,19,P. J. Soles,Susan,susan,,http://www.nndb.com/people/703/000131310/,White,Female
717,20,Deborah Van Valkenburgh,Casey,casey,,,Unlisted,Unlisted
717,21,Ginger Lynn Allen,Fanny,fanny,,,Unlisted,Unlisted
717,22,Mary Woronov,Abbie,abbie,,http://www.nndb.com/people/358/000130965/,White,Female
717,23,Daniel Roebuck,Morris Green,morris green,,http://www.nndb.com/people/895/000136487/,White,Male
717,24,Steve Railsback,Sheriff Ken Dwyer,sheriff ken dwyer,,http://www.nndb.com/people/308/000130915/,White,Male
801,0,Shawn Roberts,Tony Ravello,tony ravello,,,White,Male
801,1,Joshua Close,Jason Creed,jason creed,,,White,Male
801,2,Michelle Morgan,Debra Moynihan,debra moynihan,,,Unlisted,Unlisted
801,3,Joe Dinicol,Eliot Stone,eliot stone,,,White,Male
801,4,Scott Wentworth,Andrew Maxwell,andrew maxwell,,,Unlisted,Unlisted
801,5,Philip Riccio,Ridley Wilmott,ridley wilmott,,,Unlisted,Unlisted
801,6,George Buza,Biker,biker,,,White,Male
801,7,Amy Lalonde,Tracy Thurman,tracy thurman,,,Unlisted,Unlisted
801,8,Tatiana Maslany,Mary Dexter,mary dexter,,http://www.nndb.com/people/051/000380905/,White,Female
801,9,R.D. Reid,Amish Farmer,amish farmer,,,White,Other
801,10,Tino Monte,Newscaster,newscaster,,,White,Male
801,11,Megan Park,Francine Shane,francine shane,,,Unlisted,Unlisted
801,12,Martin Roach,Stranger,stranger,,,Unlisted,Unlisted
801,13,Alan van Sprang,Colonel,colonel,,,Unlisted,Unlisted
801,14,Matt Birman,Zombie Trooper,zombie trooper,,,White,Male
801,15,Laura DeCarteret,Bree,bree,,,Unlisted,Unlisted
801,16,Janet Lo,Asian Woman,asian woman,,,Unlisted,Unlisted
801,17,Chris Violette,Gordo Thorsen,gordo thorsen,,,Unlisted,Unlisted
801,18,Rebuka Hoye,Zombie,zombie,,,Unlisted,Unlisted
801,19,Todd William Schroeder,Brody,brody,,,Unlisted,Unlisted
801,20,Alexandria DeFabiis,Zombie,zombie,,,Unlisted,Unlisted
801,21,Nick Alachiotis,Fred,fred,,,White,Male
801,22,George A. Romero,Chief of Police,chief of police,,,Unlisted,Unlisted
801,23,Boyd Banks,Armorist,armorist,,,Black,Male
801,24,Gregory Nicotero,Zombie Surgeon,zombie surgeon,,,Unlisted,Unlisted
1229,0,Olly Bassi,SS Colonel Maximilian Schtacker,ss colonel maximilian schtacker,,,Unlisted,Unlisted
1229,1,Peter Anderson,Schtacker's Henchman,schtackers henchman,,,White,Male
691,0,Costas Mandylor,Dick Sydney,dick sydney,,http://www.nndb.com/people/857/000048713/,White,Male
691,1,Charles Napier,Sheriff Harper,sheriff harper,,http://www.nndb.com/people/146/000132747/,White,Male
691,2,Bruce Weitz,Dr. Campbell,dr campbell,,http://www.nndb.com/people/957/000132561/,White,Male
691,3,Matthew Borlenghi,Tom Banning,tom banning,,,Unlisted,Unlisted
691,4,Jane Longenecker,Diane Harper,diane harper,,,Unlisted,Unlisted
691,5,Max Perlich,Deputy Kerrigan,deputy kerrigan,,http://www.nndb.com/people/040/000028953/,White,Male
691,6,Jake Thomas,Michael Banning,michael banning,,http://www.nndb.com/people/483/000109156/,White,Male
691,7,Kerri Hemmington,Annie Dexter,annie dexter,,,Unlisted,Unlisted
691,8,Price Carson,Edwin Danders,edwin danders,,,White,Male
691,9,Joanna Pacula,Paula Kennedy,paula kennedy,,http://www.nndb.com/people/812/000131419/,White,Female
691,10,Jamie Akhavi,Judith,judith,,,Unlisted,Unlisted
802,0,Shia LaBeouf,Shia LaBeouf,shia labeouf,,http://www.nndb.com/people/001/000052842/,White,Male
802,1,Sarah Roemer,Ashley Carlson,ashley carlson,,http://www.nndb.com/people/818/000160338/,White,Female
802,2,Aaron Yoo,Ronnie,ronnie,,,Unlisted,Unlisted
802,3,David Morse,Robert Turner,robert turner,,http://www.nndb.com/people/454/000064262/,White,Male
802,4,Carrie-Anne Moss,Julie Brecht,julie brecht,,http://www.nndb.com/people/234/000026156/,White,Female
802,5,Matt Craven,Daniel Brecht,daniel brecht,,http://www.nndb.com/people/200/000108873/,White,Male
802,6,Rene Rivera,Señor Gutierrez,señor gutierrez,,,Unlisted,Unlisted
802,7,Jose Pablo Cantillo,Officer Gutierrez,officer gutierrez,,,Hispanic,Female
802,8,Viola Davis,Detective Parker,detective parker,,http://www.nndb.com/people/138/000131742/,Black,Female
958,0,Lauren German,Eva,eva,False,http://www.nndb.com/people/885/000160405/,White,Female
958,1,Michael Biehn,Mickey,mickey,True,http://www.nndb.com/people/459/000025384/,White,Male
958,2,Milo Ventimiglia,Josh,josh,True,http://www.nndb.com/people/734/000108410/,White,Male
958,3,Courtney B. Vance,Devlin,devlin,True,http://www.nndb.com/people/626/000043497/,Black,Male
958,4,Ashton Holmes,Adrien,adrien,True,http://www.nndb.com/people/608/000346567/,White,Male
958,5,Rosanna Arquette,Marilyn,marilyn,True,http://www.nndb.com/people/599/000023530/,White,Female
958,6,Ivan Gonzalez,Sam,sam,True,,Unlisted,Unlisted
958,7,Michael Eklund,Bobby,bobby,True,,White,Male
958,8,Abbey Thickson,Wendi,wendi,False,,Unlisted,Unlisted
1204,0,Ewan McGregor,Danny Torrance,danny torrance,True,http://www.nndb.com/people/039/000022970/,White,Male
1204,1,Rebecca Ferguson,Rose the Hat,rose hat,True,http://www.nndb.com/people/660/000349610/,Black,Female
1204,2,Kyleigh Curran,Abra Stone,abra stone,False,,Unlisted,Unlisted
1204,3,Cliff Curtis,Billy Freeman,billy freeman,True,http://www.nndb.com/people/264/000131868/,Multiracial,Male
1204,4,Carl Lumbly,Dick Halloran,dick halloran,False,http://www.nndb.com/people/628/000132232/,Black,Male
1204,5,Alex Essoe,Wendy Torrance,wendy torrance,True,,Unlisted,Unlisted
1204,6,Zahn McClarnon,Crow Daddy,crow daddy,True,,White,Other
1204,7,Emily Alyn Lind,Snakebite Andi,snakebite andi,True,,Unlisted,Unlisted
1204,8,Bruce Greenwood,Dr. John Dalton,dr john dalton,False,http://www.nndb.com/people/526/000092250/,White,Male
1204,9,Jocelin Donahue,Lucy Stone,lucy stone,False,,White,Female
1204,10,Jacob Tremblay,Bradley Trevor,bradley trevor,True,,White,Male
1204,11,Henry Thomas,The Bartender/Jack Torrance,bartender jack torrance,False,http://www.nndb.com/people/251/000026173/,White,Male
1204,12,Zackary Momoh,Dave Stone,dave stone,True,,Unlisted,Unlisted
1204,13,Violet McGraw,Violet,violet,True,,Unlisted,Unlisted
650,0,Kevin McKidd,Private Cooper,private cooper,,http://www.nndb.com/people/246/000131850/,White,Male
650,1,Sean Pertwee,Sergeant Harry G. Wells,sergeant harry g wells,,http://www.nndb.com/people/057/000130664/,White,Male
650,2,Emma Cleasby,Megan,megan,,,Unlisted,Unlisted
650,3,Liam Cunningham,Captain Richard Ryan,captain richard ryan,,http://www.nndb.com/people/834/000161351/,White,Male
650,4,Thomas Lockyer,Corporal Bruce Campbell,corporal bruce campbell,,,White,Male
650,5,Darren Morfitt,"Private ""Spoon"" Witherspoon",private spoon witherspoon,,,Unlisted,Unlisted
650,6,Chris Robson,Private Joe Kirkley,private joe kirkley,,,White,Male
650,7,Leslie Simpson,Private Terry Milburn,private terry milburn,,,Unlisted,Unlisted
876,0,Stephen Graham,Vince,vince,,,White,Male
876,1,Danny Dyer,Neil,neil,,http://www.nndb.com/people/949/000135544/,White,Male
876,2,Noel Clarke,Mikey Mouse,mikey mouse,,http://www.nndb.com/people/414/000348367/,Black,Male
876,3,Lee Ingleby,Matt.,matt,,,White,Male
876,4,Keith-Lee Castle,Patrick,patrick,,,Unlisted,Unlisted
876,5,Emil Marwa,Graham,graham,,,Unlisted,Unlisted
876,6,Neil Maskell,Banksy,banksy,,,White,Male
876,7,Christina Cole,Christina Cole,christina cole,,,White,Female
876,8,Terry Stone,Sergeant Gavin Wright,sergeant gavin wright,,,Unlisted,Unlisted
876,9,Nicola Jane Reading,the Witch/ Zombird Army - Nightgown,witch zombird army nightgown,,,Unlisted,Unlisted
876,10,Jenna Goodwin,Dorothy Perkins/ Zombird Army - Librarian,dorothy perkins zombird army librarian,,,Unlisted,Unlisted
876,11,Emily Booth,The Snipper,snipper,,,White,Female
876,12,Tree Carr,Julie Mini-Mart,julie mini mart,,,Unlisted,Unlisted
876,13,Ria Knowles,Pigtails,pigtails,,,Unlisted,Unlisted
876,14,Alison Carroll,The Teen,teen,,,Unlisted,Unlisted
876,15,Deborah Hyde,The Barmaid at the local pub The Cock and Bull,barmaid at local pub cock and bull,,,White,Female
876,16,Victoria Hopkins,The Bride,bride,,,Unlisted,Unlisted
876,17,Beryl Nesbitt,Mikey's Grandmother,mikeys grandmother,,,Unlisted,Unlisted
876,18,Mary Tamm,Meg Nut,meg nut,,http://www.nndb.com/people/799/000026721/,White,Female
876,19,Billy Murray,Colonel,colonel,,http://www.nndb.com/people/706/000070496/,White,Male
876,20,Adele Silva,Bex,bex,,,Unlisted,Unlisted
876,21,Jessica-Jane Clement,Neil's young woman,neils young woman,,,Unlisted,Unlisted
876,22,Khemico Lumampao,the prostitute,prostitute,,,Unlisted,Unlisted
84,0,David McCallum,Harlan Thompson,harlan thompson,,http://www.nndb.com/people/720/000080480/,White,Male
84,1,Sandra McCabe,Caroline Donohue,caroline donohue,,,Unlisted,Unlisted
84,2,George Wyner,Michael Fitzgerald,michael fitzgerald,,http://www.nndb.com/people/617/000348570/,White,Male
84,3,Eric Server,Jimmy Goodman,jimmy goodman,,,White,Male
84,4,Linda Gray,Miss Engle,miss engle,,http://www.nndb.com/people/229/000024157/,White,Female
84,5,Dean Santoro,Aintry,aintry,,,White,Male
84,6,Holly Harris,Dr. Koppelman,dr koppelman,,,Unlisted,Unlisted
84,7,Sterling Swanson,Dr. Martin Koppelman,dr martin koppelman,,,Unlisted,Unlisted
84,8,Barry Greenberg,Howard Kaplan,howard kaplan,,,Unlisted,Unlisted
84,9,Michael Davis,Nichols,nichols,,,White,Male
84,10,Russ Grieve,Homer,homer,,,Unlisted,Unlisted
84,11,Cathy Austin,Annie Watson,annie watson,,,Unlisted,Unlisted
84,12,Paul Paolasso,Carl,carl,,,Unlisted,Unlisted
84,13,Elizabeth Kerr,Mrs. Mary McDougal,mrs mary mcdougal,,,Unlisted,Unlisted
84,14,Lance Hool,Robbie Pulaski,robbie pulaski,,,Unlisted,Unlisted
84,15,Debbie Davis,Marilyn Holly,marilyn holly,,,Unlisted,Unlisted
84,16,Jimmy Stathis,Robert Johnson,robert johnson,,,Unlisted,Unlisted
84,17,R.A. Rondell,Motorcyclist,motorcyclist,,,White,Other
493,0,Tim Thomerson,Brick Bardo,brick bardo,,http://www.nndb.com/people/165/000130772/,White,Male
493,1,Tracy Scoggins,Judith Grey,judith grey,,http://www.nndb.com/people/780/000079543/,White,Female
493,2,Melissa Behr,Nurse Ginger,nurse ginger,,,Unlisted,Unlisted
493,3,Phillip Brock,Collins,collins,,,White,Male
493,4,Phil Fondacaro,Ray Vernon,ray vernon,,,White,Male
493,5,R.C. Bates,Bum,bum,,,White,Other
493,6,Willie C. Carpenter,Police Officer,police officer,,,White,Male
493,7,Peter Chen,Cab Driver,cab driver,,,Asian/Indian,Male
333,0,Ian Patrick Williams,David Bower,david bower,,,Unlisted,Unlisted
333,1,Carolyn Purdy Gordon,Rosemary Bower,rosemary bower,,,Unlisted,Unlisted
333,2,Carrie Lorraine,Judy Bower,judy bower,,,Unlisted,Unlisted
333,3,Guy Rolfe,Gabriel Hartwicke,gabriel hartwicke,,http://www.nndb.com/people/856/000279019/,White,Male
333,4,Hilary Mason,Hilary Hartwicke,hilary hartwicke,,,Unlisted,Unlisted
333,5,Bunty Bailey,Isabel Prange,isabel prange,,,Unlisted,Unlisted
333,6,Cassie Stuart,Enid,enid,,,Unlisted,Unlisted
333,7,Stephen Lee,Ralph Morris,ralph morris,,,Unlisted,Unlisted
719,0,Stellan Skarsgård,Father Lankester Merrin,father lankester merrin,,http://www.nndb.com/people/427/000110097/,White,Male
719,1,Gabriel Mann,Father Francis,father francis,,http://www.nndb.com/people/748/000136340/,White,Male
719,2,Clara Bellar,Rachel Lesno,rachel lesno,,,White,Female
719,3,Billy Crawford,Cheche,cheche,,,Unlisted,Unlisted
719,4,Julian Wadham,Major Granville,major granville,,,White,Male
719,5,Ralph Brown,Sergeant-Major Harris,sergeant major harris,,,White,Male
719,6,Israel Aduramo,Jomo,jomo,,,Unlisted,Unlisted
719,7,Andrew French,Chuma,chuma,,,White,Male
719,8,Eddie Osei,Emekwi,emekwi,,,Black,Male
719,9,Antonie Kamerling,Lieutenant Kessel,lieutenant kessel,,,White,Female
719,10,Mary Beth Hurt,the voice of possessed Cheche.,voice of possessed cheche,,http://www.nndb.com/people/255/000025180/,White,Female
754,0,Everon Jackson Hooi,Chris,chris,True,,Unlisted,Unlisted
754,1,Micha Hulshof,Tim,tim,True,,Unlisted,Unlisted
754,2,Victoria Koblenko,Laura,laura,True,,Unlisted,Unlisted
754,3,Anniek Pheifer,Barbara,barbara,True,,Unlisted,Unlisted
754,4,Aram van de Rest,Ben,ben,True,,Unlisted,Unlisted
754,5,Terence Schreurs,Joline,joline,True,,Unlisted,Unlisted
754,6,Mads Wittermans,Sidney,sidney,True,,Unlisted,Unlisted
754,7,Alwien Tulner,Mary McBain,mary mcbain,False,,Unlisted,Unlisted
720,0,Karl Urban,"Staff Sergeant John ""Reaper"" Grimm",staff sergeant john reaper grimm,,http://www.nndb.com/people/106/000089836/,White,Male
720,1,Dwayne Johnson,"Gunnery Sergeant Asher ""Sarge"" Mahonin",gunnery sergeant asher sarge mahonin,,,White,Male
720,2,Rosamund Pike,Dr. Samantha Grimm,dr samantha grimm,,http://www.nndb.com/people/518/000109191/,White,Female
720,3,Razaaq Adoti,"Sergeant Gregory ""Duke"" Schofield",sergeant gregory duke schofield,,,White,Other
720,4,Richard Brake,Corporal Dean Portman,corporal dean portman,,,White,Male
720,5,Al Weaver,"Private Mark ""The Kid"" Dantalian",private mark kid dantalian,,,White,Male
720,6,Deobia Oparei,"Sergeant Roark ""Destroyer"" Gannon",sergeant roark destroyer gannon,,,White,Other
720,7,Ben Daniels,"Corporal Eric ""Goat"" Fantom",corporal eric goat fantom,,,White,Male
720,8,Yao Chin,"Private First Class Katsuhiko Kumanosuke ""Mac"" Takahashi",private first class katsuhiko kumanosuke mac takahashi,,,Asian/Indian,Other
720,9,Dexter Fletcher,"Marcus ""Pinky"" Pinzerowski",marcus pinky pinzerowski,,http://www.nndb.com/people/379/000160896/,White,Male
720,10,Robert Russell,Dr. Todd Carmack,dr todd carmack,,,White,Male
720,11,Brian Steele,Hell Knight / Curtis Stahl,hell knight curtis stahl,,,White,Male
720,12,Doug Jones,Carmack Imp / Willits Imp,carmack imp willits imp,,http://www.nndb.com/people/762/000160282/,White,Male
629,0,James Marshall,Mark Newman,mark newman,,http://www.nndb.com/people/684/000205069/,White,Male
629,1,Naomi Watts,Jennifer Evans,jennifer evans,,http://www.nndb.com/people/882/000031789/,White,Female
629,2,Eric Thal,Jeffrey,jeffrey,,http://www.nndb.com/people/439/000133040/,White,Male
629,3,Michael Ironside,Günter Steinberg,günter steinberg,,http://www.nndb.com/people/040/000024965/,White,Male
629,4,Edward Herrmann,Milligan,milligan,,http://www.nndb.com/people/835/000110505/,White,Male
629,5,Dan Hedaya,Lt. Mc Bain,lt mc bain,,http://www.nndb.com/people/379/000105064/,White,Male
629,6,Ron Perlman,Mitchell,mitchell,,http://www.nndb.com/people/064/000024989/,White,Male
651,0,The DVD release for this Italian mini-series is entitled Dracula's Curse. The original title is Il Bacio di Dracula,modern re-telling of the classic Bram Stoker tale.,modern re telling of classic bram stoker tale,,,Unlisted,Unlisted
137,0,Frank Langella,Count Dracula,count dracula,,http://www.nndb.com/people/141/000024069/,White,Male
137,1,Laurence Olivier,Professor Abraham Van Helsing,professor abraham van helsing,,http://www.nndb.com/people/607/000022541/,White,Male
137,2,Donald Pleasence,Dr. Jack Seward,dr jack seward,,http://www.nndb.com/people/611/000032515/,White,Male
137,3,Kate Nelligan,Lucy Seward,lucy seward,,http://www.nndb.com/people/701/000116353/,White,Female
137,4,Trevor Eve,Jonathan Harker,jonathan harker,,http://www.nndb.com/people/641/000162155/,White,Male
137,5,Jan Francis,Mina Van Helsing,mina van helsing,,,Unlisted,Unlisted
137,6,Sylvester McCoy,Walter Myrtle,walter myrtle,,http://www.nndb.com/people/819/000165324/,White,Male
137,7,Janine Duvitski,Annie,annie,,,Unlisted,Unlisted
137,8,Tony Haygarth,Milo Renfield,milo renfield,,,Unlisted,Unlisted
137,9,Teddy Turner,Swales,swales,,,Unlisted,Unlisted
35,0,Jack Palance,Count Dracula / Vlad III the Impaler,count dracula vlad iii impaler,,http://www.nndb.com/people/579/000022513/,White,Male
35,1,Simon Ward,Arthur Holmwood,arthur holmwood,,http://www.nndb.com/people/085/000131689/,White,Male
35,2,Nigel Davenport,Abraham Van Helsing,abraham van helsing,,http://www.nndb.com/people/082/000130689/,White,Male
35,3,Fiona Lewis,Lucy Westenra / Dracula's deceased wife,lucy westenra draculas deceased wife,,,Unlisted,Unlisted
35,4,Murray Brown,Jonathan Harker,jonathan harker,,,Unlisted,Unlisted
35,5,Penelope Horner,Mina Murray,mina murray,,,Unlisted,Unlisted
521,0,Leslie Nielsen,Count Dracula,count dracula,,http://www.nndb.com/people/158/000023089/,White,Male
521,1,Mel Brooks,Dr. Abraham Van Helsing,dr abraham van helsing,,http://www.nndb.com/people/542/000022476/,White,Male
521,2,Peter MacNicol,Thomas Renfield,thomas renfield,,http://www.nndb.com/people/413/000131020/,White,Male
521,3,Steven Weber,Jonathan Harker,jonathan harker,,http://www.nndb.com/people/057/000078820/,White,Male
521,4,Amy Yasbeck,Mina Seward,mina seward,,http://www.nndb.com/people/480/000109153/,White,Female
521,5,Lysette Anthony,Lucy Westenra,lucy westenra,,http://www.nndb.com/people/246/000130853/,White,Female
521,6,Harvey Korman,Dr. Seward,dr seward,,http://www.nndb.com/people/198/000023129/,White,Male
521,7,Anne Bancroft,Madame Ouspenskaya,madame ouspenskaya,,http://www.nndb.com/people/439/000023370/,White,Female
521,8,Ezio Greggio,the coachman,coachman,,,Unlisted,Unlisted
521,9,Megan Cavanagh,Essie,essie,,,White,Female
521,10,Chuck McCann,Innkeeper,innkeeper,,,White,Male
521,11,Mark Blankfield,Martin,martin,,,White,Male
521,12,Clive Revill,Sykes,sykes,,http://www.nndb.com/people/224/000133822/,White,Male
521,13,Gregg Binkley,Woodbridge,woodbridge,,,White,Male
521,14,Rudy De Luca,Guard,guard,,,Unlisted,Unlisted
521,15,Richard Steven Horvitz,Scientist #11,scientist 11,,,White,Male
521,16,Avery Schreiber,Male Peasant on Coach,male peasant on coach,,http://www.nndb.com/people/988/000162502/,White,Male
521,17,Cherie Franklin,Female Peasant on Coach,female peasant on coach,,,White,Female
1050,0,Luke Evans,Vlad III Tepes,vlad iii tepes,,http://www.nndb.com/people/775/000345737/,White,Male
1050,1,Sarah Gadon,Mirena,mirena,,,Hispanic,Female
1050,2,Dominic Cooper,Mehmed the Second,mehmed second,,http://www.nndb.com/people/383/000346342/,White,Male
1050,3,Samantha Barks,Baba Yaga,baba yaga,,,White,Female
1050,4,Art Parkinson,Ingeras,ingeras,,,White,Male
1050,5,William Houston,Cazan,cazan,,,White,Male
1050,6,Ferdinand Kingsley,Hamza Bey,hamza bey,,,White,Male
1050,7,Noah Huntley,Captain Petru,captain petru,,,White,Male
1050,8,Zach McGowan,Shkelgim,shkelgim,,,White,Male
1050,9,Ronan Vibert,"Simion ""The Wise""",simion wise,,,White,Male
1050,10,Diarmaid Murtagh,Dimitru,dimitru,,,White,Male
1050,11,Noah Huntley,Master of the Guards,master of guards,,,White,Male
1050,12,Thor Kristjansson,Bright Eyes,bright eyes,,,White,Male
1050,13,Joseph Long,Omer,omer,,,White,Male
1050,14,Charles Dance,Master Vampire,master vampire,,http://www.nndb.com/people/373/000045238/,White,Male
913,0,Josie Ho,Cheng Lai-sheung,cheng lai sheung,,,Asian/Indian,Female
913,1,Wong Ching,Security Guard,security guard,,,Unlisted,Unlisted
913,2,Eason Chan,Siu Tu,siu tu,,,Unlisted,Unlisted
913,3,Michelle Ye,Flat 8A Female Owner,flat 8a female owner,,http://www.nndb.com/people/928/000025853/,Asian/Indian,Female
913,4,Jo Kuk,Flat 8A Female Owner's Friend,flat 8a female owners friend,,,Unlisted,Unlisted
913,5,Cheng Hao Sum,Jimmy,jimmy,,,Unlisted,Unlisted
913,6,Paw Hee-ching,Sheung's Mother,sheungs mother,,,Unlisted,Unlisted
913,7,Lo Hoi-pang,Sheung's Grandpa,sheungs grandpa,,,Unlisted,Unlisted
913,8,Norman Chu,Sheung's Father,sheungs father,,,Unlisted,Unlisted
913,9,Lap-Man Tan,Flat 8A Male Owner,flat 8a male owner,,,Unlisted,Unlisted
913,10,Lam Yiu-Sing,Sheung's Brother,sheungs brother,,,Unlisted,Unlisted
913,11,Deerek Tsang,Cheung Jai,cheung jai,,,Unlisted,Unlisted
670,0,Morgan Freeman,Colonel Abraham Curtis,colonel abraham curtis,True,http://www.nndb.com/people/982/000023913/,Black,Male
670,1,Thomas Jane,Henry Devlin,henry devlin,False,http://www.nndb.com/people/931/000044799/,White,Male
670,2,Mikey Holekamp,young Henry,young henry,False,,White,Other
670,3,Jason Lee,"Joe ""Beaver"" Clarendon",joe beaver clarendon,True,http://www.nndb.com/people/193/000024121/,White,Male
670,4,Reece Thompson,young Beaver,young beaver,False,,White,Male
670,5,Damian Lewis,"Gary ""Jonesy"" Jones / Mr. Gray",gary jonesy jones mr gray,False,http://www.nndb.com/people/257/000108930/,White,Male
670,6,Giacomo Baessato,young Jonesy,young jonesy,False,,White,Male
670,7,Timothy Olyphant,Pete Moore,pete moore,True,http://www.nndb.com/people/589/000056421/,White,Male
670,8,Joel Palmer,young Pete,young pete,False,,White,Male
670,9,Tom Sizemore,Owen Underhill,owen underhill,True,http://www.nndb.com/people/063/000022994/,White,Male
670,10,Donnie Wahlberg,"Douglas ""Duddits"" Cavell",douglas duddits cavell,True,http://www.nndb.com/people/223/000026145/,White,Male
670,11,Andrew Robb,Tyler Myer as young Duddits,tyler myer as young duddits,False,,White,Male
670,12,Eric Keenleyside,Rick McCarthy,rick mccarthy,True,,White,Male
670,13,Rosemary Dunsmore,Roberta Cavell,roberta cavell,False,,White,Female
670,14,Michael O'Neill,General Matheson,general matheson,False,,Unlisted,Unlisted
670,15,Darrin Klimek,Maples,maples,False,,White,Male
670,16,Campbell Lane,Old Man Gosselin,old man gosselin,False,,White,Male
670,17,C. Ernst Harth,Barry Neiman,barry neiman,True,,White,Other
670,18,Ingrid Kavelaars,Trish,trish,False,,White,Female
160,0,Michael Caine,Dr. Robert Elliott,dr robert elliott,,http://www.nndb.com/people/754/000022688/,White,Male
160,1,Angie Dickison,Kate Miller,kate miller,,,Unlisted,Unlisted
160,2,Nancy Allen,Liz Blake,liz blake,,http://www.nndb.com/people/088/000025013/,White,Female
160,3,Keith Gordon,Peter Miller,peter miller,,http://www.nndb.com/people/597/000132201/,White,Male
160,4,Dennis Franz,Detective Morino,detective morino,,http://www.nndb.com/people/618/000024546/,White,Male
160,5,David Margulies,Dr. Levy,dr levy,,http://www.nndb.com/people/484/000400281/,White,Male
160,6,Ken Baker,Warren Lockman,warren lockman,,,Unlisted,Unlisted
160,7,Susanna Clemm,Betty Luce,betty luce,,,Unlisted,Unlisted
160,8,Brandon Maggart,Cleveland Sam,cleveland sam,,,Unlisted,Unlisted
160,9,Norman Evans,Ted,ted,,,Unlisted,Unlisted
160,10,Bill Randolph,Chase Cabby,chase cabby,,,Unlisted,Unlisted
160,11,Fred Weber,Miker Miller,miker miller,,,Unlisted,Unlisted
160,12,Erika Katz,Girl in Elevator,girl in elevator,,,Unlisted,Unlisted
160,13,Marjorie Lee Thoreson,Nurse,nurse,,,Unlisted,Unlisted
160,14,William Finlet,the voice of Bobbi,voice of bobbi,,,Unlisted,Unlisted
85,0,Neville Brand,Judd,judd,,http://www.nndb.com/people/246/000088979/,White,Male
