Movie Index,Title,Year,Plot,Director(s),Star(s)
3678,Euthination,2009,"A viral outbreak traps a group of slackers and causes them to reevaluate their lives, as well as fend for them.",Raymond Lisi,"Joshua Miller, William Zignego, Raymond Lisi, Daniel Kiely"
3679,The Path of Torment,2009,Add a Plot,Gary C. Warren,"Joe Noelker, Gary C. Warren, Dona Ellis, Craig Beffa"
3680,Neighbor,2009,"A mysterious new girl arrives in posh suburban neighborhood and quickly sets out to terrorize the town. As she starts breaking into homes and torturing the occupants, they begin to realize that she isn't just another girl next door.",Robert A. Masciantonio,"America Olivo, Christian Campbell, Joseph Aniska, Pete Postiglione"
3681,The Collector,2009,"Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps.",Marcus Dunstan,"Josh Stewart, Andrea Roth, Juan Fernández, William Prael"
3682,The Lowborn,2009,"Dale Dugay, a young IRS agent who gets a chance for promotion must travel out to the sticks and audit some troublesome locals. The task seems simple, but he soon finds that the natives are a degenerate band of sadistic maniacs.",Matt Hewitt,"Ryan Abernathy, Travis John Adams, Frankie Alvarez, Nate Bernot"
3683,Abduction,2009,"ABDUCTION: The town of Process is located somewhere in rural New Jersey. It's been in existence for over 100 years, although it's not on any known map. It's a nice place to visit, with ...                See full summary »",John Orrichio,"Tony Rugnetta, S. Freddor, Roberto Lombardi, Christy Callas"
3684,Zombie Dearest,2009,"When failed comic Gus Lawton pushes his wife too far, he finds himself chasing her across the country to the abandoned farmhouse of her childhood. Given the choice between losing Deborah or...                See full summary »",David Kemker,"David Kemker, Shauna Black, David Sparrow, John Jarvis"
3685,Shorts,2009,"A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.",Robert Rodriguez,"Jimmy Bennett, James Spader, Kat Dennings, Jake Short"
3686,The Last Resort,2009,"A Bachelorette weekend goes awry when the girls are robbed, stranded, and forced to take shelter in a deserted Mexican resort that is haunted by the unspeakable atrocities of past.",Brandon Nutt,"America Olivo, Paulie Rojas Redding, Marissa Tait, Sita Young"
3687,Case 39,2009,"A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected.",Christian Alvart,"Renée Zellweger, Ian McShane, Jodelle Ferland, Bradley Cooper"
3688,The Inherited,2009,"When a college student who grew up a ward of the state finds out he inherited a large estate, he and his friends decide to assess for themselves his new wealth. Unfortunately, they quickly ...                See full summary »",Patrick C. Clinton,"Khory Pilley, Tyler Cross, Natalie Sieber, Jeff Pearson"
3689,The Id Proxy,2009,A group of people go camping in the woods for the weekend only to become terrorized and hunted by a man who has snapped into a psychotic rage.,Matthew C. Dumond,"Jim Baker, Rebecca Howland, Evalena Marie, Rick Dumont"
3690,Horrid,2009,"Take a trip to the north woods, but don't plan on going home.",James Pronath,"Kevin Kiser, Liz Ribarchek, Kyle Berg, Amber Rae Halama"
