Horror Wiki Index,char index,Stripped Title,Year,character
747,6,behind mask rise of leslie vernon,2006,Kelly
747,7,behind mask rise of leslie vernon,2006,Todd
747,8,behind mask rise of leslie vernon,2006,Lauren
747,9,behind mask rise of leslie vernon,2006,Shane
1164,0,bird box,2018,Woman in orange
1164,1,bird box,2018,Jessica Hayes
1164,2,bird box,2018,Man in car
1164,3,bird box,2018,Lydia
1164,4,bird box,2018,Five people
1164,5,bird box,2018,Greg
1164,6,bird box,2018,Two men
1164,7,bird box,2018,Man and Woman
1164,8,bird box,2018,Charlie
1164,9,bird box,2018,Olympia
1164,10,bird box,2018,Cheryl
1164,11,bird box,2018,Douglas
1164,12,bird box,2018,Gary
1164,13,bird box,2018,Man
1164,14,bird box,2018,Four psychotic seers
1164,15,bird box,2018,Psychotic seer
1164,16,bird box,2018,Tom
1164,17,bird box,2018,River Man
1098,0,blair witch,2016,Peter Jones
1098,1,blair witch,2016,Talia
1098,2,blair witch,2016,Ashley Bennett
1098,3,blair witch,2016,Lane
1098,4,blair witch,2016,James Donahue
1098,5,blair witch,2016,Lisa Arlington
586,0,blair witch project,1999,Joshua 'Josh' Leonard
586,1,blair witch project,1999,Michael 'Mike' Williams
586,2,blair witch project,1999,Heather Donahue
709,0,boogeyman,2005,Mr.Jensen
709,1,boogeyman,2005,Ms.Jensen
709,2,boogeyman,2005,Crow
709,3,boogeyman,2005,Jessica
709,4,boogeyman,2005,Ome Mike
709,5,boogeyman,2005,Boogeyman
793,0,boogeyman 2,2007,Mr. Porter
793,1,boogeyman 2,2007,Mrs. Porter
793,2,boogeyman 2,2007,Mark
793,3,boogeyman 2,2007,Paul
793,4,boogeyman 2,2007,Gloria
793,5,boogeyman 2,2007,Dr.Ryan
793,6,boogeyman 2,2007,Alison
793,7,boogeyman 2,2007,Tim Jensen
793,8,boogeyman 2,2007,Darren
793,9,boogeyman 2,2007,Nicky
793,10,boogeyman 2,2007,Henry Porter
793,11,boogeyman 2,2007,Dr.Mitchell Allen
793,12,boogeyman 2,2007,Boogeyman/Dr.Jessica Ryan
868,0,boogeyman 3,2009,Layla The Dog
868,1,boogeyman 3,2009,Audrey Allen
868,2,boogeyman 3,2009,Lukas
868,3,boogeyman 3,2009,Mark
868,4,boogeyman 3,2009,Jeremy
868,5,boogeyman 3,2009,Almost Everybody on Campus
868,6,boogeyman 3,2009,Ben
868,7,boogeyman 3,2009,Lindsay
868,8,boogeyman 3,2009,Dr.Roger Kane
868,9,boogeyman 3,2009,David
868,10,boogeyman 3,2009,Sarah Morris
868,11,boogeyman 3,2009,Amy
613,0,book of shadows blair witch 2,2000,Jeff Patterson
613,1,book of shadows blair witch 2,2000,Peggie the Cashier
613,2,book of shadows blair witch 2,2000,Erica Geerson
613,3,book of shadows blair witch 2,2000,Greta
613,4,book of shadows blair witch 2,2000,Other tour group
613,5,book of shadows blair witch 2,2000,Tristen Ryler
613,6,book of shadows blair witch 2,2000,Stephen and Tristen's unborn baby
1156,0,bye bye man,2017,Rick
1156,1,bye bye man,2017,Jane
1156,2,bye bye man,2017,Mr. Daizy
1156,3,bye bye man,2017,Giselle
1156,4,bye bye man,2017,Anna
1156,5,bye bye man,2017,Larry
1156,6,bye bye man,2017,Kim
1156,7,bye bye man,2017,Unnamed Person
1156,8,bye bye man,2017,Unnamed Person
1156,9,bye bye man,2017,Mrs. Watkins
1156,10,bye bye man,2017,John
1156,11,bye bye man,2017,Sasha
1156,12,bye bye man,2017,Elliot
1016,0,carrie,2013,"Tommy ""Thomas"" Ross"
1016,1,carrie,2013,Heather Shyres
1016,2,carrie,2013,"Kenny ""Kenneth"" Garson"
1016,3,carrie,2013,Jackie Talbot
1016,4,carrie,2013,"Freddy ""Frederick"" Holt"
1016,5,carrie,2013,"Nicki and Lizzy ""Elizabeth"" Wilson"
1016,6,carrie,2013,Tina Blake
1016,7,carrie,2013,Mr. Ullmann
1016,8,carrie,2013,Most of the prom goers at the prom
1016,9,carrie,2013,Billy Nolan
1016,10,carrie,2013,Christine Hargensen
1016,11,carrie,2013,Margaret White
1016,12,carrie,2013,Carrie White
975,0,chernobyl diaries,2012,Yuri
975,1,chernobyl diaries,2012,Chris
