Horror Wiki Index,Title,Year,Horror Wiki URL
95,Audrey Rose (1977),1977,/wiki/Audrey_Rose_(1977)
96,Day of the Animals (1977),1977,/wiki/Day_of_the_Animals_(1977)
97,Demon Seed,1977,/wiki/Demon_Seed
98,Exorcist II: The Heretic,1977,/wiki/Exorcist_II:_The_Heretic
99,Hausu,1977,/wiki/Hausu
100,The Hills Have Eyes (1977),1977,/wiki/The_Hills_Have_Eyes_(1977)
101,House (1977),1977,/wiki/House_(1977)
102,Orca (film),1977,/wiki/Orca_(film)
103,The Pack,1977,/wiki/The_Pack
104,Ruby,1977,/wiki/Ruby
105,The Sentinel,1977,/wiki/The_Sentinel
106,Shock,1977,/wiki/Shock
107,Shock Waves,1977,/wiki/Shock_Waves
108,Snowbeast,1977,/wiki/Snowbeast
109,Suspiria (1977),1977,/wiki/Suspiria_(1977)
110,The Car,1977,/wiki/The_Car
111,The Uncanny,1977,/wiki/The_Uncanny
112,Coma (1978),1978,/wiki/Coma_(1978)
113,Damien: Omen II (1978),1978,/wiki/Damien:_Omen_II_(1978)
114,Dawn of the Dead (1978),1978,/wiki/Dawn_of_the_Dead_(1978)
115,Halloween (1978),1978,/wiki/Halloween_(1978)
116,I Spit On Your Grave (1978),1978,/wiki/I_Spit_On_Your_Grave_(1978)
117,Invasion of the Body Snatchers (1978),1978,/wiki/Invasion_of_the_Body_Snatchers_(1978)
118,It Lives Again,1978,/wiki/It_Lives_Again
119,Jaws 2,1978,/wiki/Jaws_2
120,Jennifer,1978,/wiki/Jennifer
121,Laserblast,1978,/wiki/Laserblast
122,The Legacy,1978,/wiki/The_Legacy
123,Magic,1978,/wiki/Magic
124,Martin,1978,/wiki/Martin
125,Patrick (1978),1978,/wiki/Patrick_(1978)
126,Piranha (1978),1978,/wiki/Piranha_(1978)
127,Terror Out of the Sky,1978,/wiki/Terror_Out_of_the_Sky
128,The Alien Factor,1978,/wiki/The_Alien_Factor
129,The Bees,1978,/wiki/The_Bees
130,The Fury,1978,/wiki/The_Fury
131,The Toolbox Murders (1978),1978,/wiki/The_Toolbox_Murders_(1978)
132,Watership Down (1978),1978,/wiki/Watership_Down_(1978)
133,Zoltan: Hound of Dracula,1978,/wiki/Zoltan:_Hound_of_Dracula
134,Alien (1979),1979,/wiki/Alien_(1979)
135,The Brood (1979),1979,/wiki/The_Brood_(1979)
136,Crocodile (1979),1979,/wiki/Crocodile_(1979)
137,Dracula (1979),1979,/wiki/Dracula_(1979)
138,The Driller Killer,1979,/wiki/The_Driller_Killer
139,Nightwing,1979,/wiki/Nightwing
140,Nosferatu the Vampyre,1979,/wiki/Nosferatu_the_Vampyre
141,Phantasm,1979,/wiki/Phantasm
142,Prophecy,1979,/wiki/Prophecy
143,The Silent Scream,1979,/wiki/The_Silent_Scream
144,Tourist Trap,1979,/wiki/Tourist_Trap
145,When a Stranger Calls (1979),1979,/wiki/When_a_Stranger_Calls_(1979)
146,Zombi 2,1979,/wiki/Zombi_2
147,Alligator (1980),1980,/wiki/Alligator_(1980)
148,Altered States (1980),1980,/wiki/Altered_States_(1980)
149,Antropophagus (1980),1980,/wiki/Antropophagus_(1980)
150,Beyond Evil (1980),1980,/wiki/Beyond_Evil_(1980)
151,Bloodeaters (1980),1980,/wiki/Bloodeaters_(1980)
152,The Boogeyman (1980),1980,/wiki/The_Boogeyman_(1980)
153,Cannibal Holocaust (1980),1980,/wiki/Cannibal_Holocaust_(1980)
154,The Changeling (1980),1980,/wiki/The_Changeling_(1980)
155,Christmas Evil (1980),1980,/wiki/Christmas_Evil_(1980)
156,City of the Living Dead (1980),1980,/wiki/City_of_the_Living_Dead_(1980)
157,Contamination,1980,/wiki/Contamination
158,Death Ship,1980,/wiki/Death_Ship
159,Demented,1980,/wiki/Demented
160,Dressed to Kill,1980,/wiki/Dressed_to_Kill
161,Fade to Black,1980,/wiki/Fade_to_Black
162,Fiend (1980),1980,/wiki/Fiend_(1980)
163,The Fog (1980),1980,/wiki/The_Fog_(1980)
164,Friday the 13th (1980),1980,/wiki/Friday_the_13th_(1980)
165,He Knows You're Alone,1980,/wiki/He_Knows_You%27re_Alone
166,Hell of the Living Dead,1980,/wiki/Hell_of_the_Living_Dead
167,Humanoids from the Deep (1980),1980,/wiki/Humanoids_from_the_Deep_(1980)
168,Inferno,1980,/wiki/Inferno
169,Maniac (1980),1980,/wiki/Maniac_(1980)
170,Monstroid,1980,/wiki/Monstroid
171,Motel Hell,1980,/wiki/Motel_Hell
172,New Year's Evil,1980,/wiki/New_Year%27s_Evil
173,Night of the Demon (1980),1980,/wiki/Night_of_the_Demon_(1980)
174,Nightmare City,1980,/wiki/Nightmare_City
175,Patrick vive ancora,1980,/wiki/Patrick_vive_ancora
176,Prom Night (1980),1980,/wiki/Prom_Night_(1980)
177,Saturn 3,1980,/wiki/Saturn_3
178,The Shining,1980,/wiki/The_Shining
179,Terror Train,1980,/wiki/Terror_Train
180,The Awakening,1980,/wiki/The_Awakening
181,Without Warning,1980,/wiki/Without_Warning
182,An American Werewolf in London (1981),1981,/wiki/An_American_Werewolf_in_London_(1981)
183,Blood Beach (1981),1981,/wiki/Blood_Beach_(1981)
184,Bloody Birthday (1981),1981,/wiki/Bloody_Birthday_(1981)
185,Burial Ground (1981),1981,/wiki/Burial_Ground_(1981)
186,The Burning (1981),1981,/wiki/The_Burning_(1981)
187,Dark Night of the Scarecrow (1981),1981,/wiki/Dark_Night_of_the_Scarecrow_(1981)
188,Dead & Buried (1981),1981,/wiki/Dead_%26_Buried_(1981)
189,Deadly Blessing,1981,/wiki/Deadly_Blessing
190,The Evil Dead (1981),1981,/wiki/The_Evil_Dead_(1981)
191,Eyes of a Stranger,1981,/wiki/Eyes_of_a_Stranger
192,Friday the 13th Part 2 (1981),1981,/wiki/Friday_the_13th_Part_2_(1981)
193,The Funhouse,1981,/wiki/The_Funhouse
194,Galaxy of Terror,1981,/wiki/Galaxy_of_Terror
195,Ghost Story,1981,/wiki/Ghost_Story
196,Ghostkeeper,1981,/wiki/Ghostkeeper
197,Great White,1981,/wiki/Great_White
198,Halloween II (1981),1981,/wiki/Halloween_II_(1981)
199,Happy Birthday to Me,1981,/wiki/Happy_Birthday_to_Me
200,Hell Night,1981,/wiki/Hell_Night
201,The House by the Cemetery,1981,/wiki/The_House_by_the_Cemetery
202,The Howling (1981),1981,/wiki/The_Howling_(1981)
203,Just Before Dawn,1981,/wiki/Just_Before_Dawn
204,My Bloody Valentine (1981),1981,/wiki/My_Bloody_Valentine_(1981)
205,Mystics in Bali,1981,/wiki/Mystics_in_Bali
206,Night School,1981,/wiki/Night_School
207,Omen III: The Final Conflict,1981,/wiki/Omen_III:_The_Final_Conflict
208,Piranha II: The Spawning,1981,/wiki/Piranha_II:_The_Spawning
209,The Prowler,1981,/wiki/The_Prowler
210,Saturday the 14th,1981,/wiki/Saturday_the_14th
211,Scanners,1981,/wiki/Scanners
212,Scared to Death,1981,/wiki/Scared_to_Death
213,The Beyond,1981,/wiki/The_Beyond
214,The Black Cat (1981),1981,/wiki/The_Black_Cat_(1981)
215,The Boogens,1981,/wiki/The_Boogens
216,The Hand,1981,/wiki/The_Hand
217,The Pit,1981,/wiki/The_Pit
218,Wolfen,1981,/wiki/Wolfen
219,Alone in the Dark (1982),1982,/wiki/Alone_in_the_Dark_(1982)
220,Amityville II: The Possession (1982),1982,/wiki/Amityville_II:_The_Possession_(1982)
221,Basket Case (1982),1982,/wiki/Basket_Case_(1982)
222,The Beast Within (1982),1982,/wiki/The_Beast_Within_(1982)
223,Creepshow (1982),1982,/wiki/Creepshow_(1982)
224,Deadly Eyes (1982),1982,/wiki/Deadly_Eyes_(1982)
225,Forbidden World,1982,/wiki/Forbidden_World
226,Friday the 13th Part III,1982,/wiki/Friday_the_13th_Part_III
227,Halloween III: Season of the Witch,1982,/wiki/Halloween_III:_Season_of_the_Witch
228,Humongous,1982,/wiki/Humongous
229,Madman (1982),1982,/wiki/Madman_(1982)
230,Night Warning,1982,/wiki/Night_Warning
231,Nightbeast,1982,/wiki/Nightbeast
232,Pieces,1982,/wiki/Pieces
233,Poltergeist (1982),1982,/wiki/Poltergeist_(1982)
234,Q (1982),1982,/wiki/Q_(1982)
235,The Slumber Party Massacre,1982,/wiki/The_Slumber_Party_Massacre
236,Swamp Thing,1982,/wiki/Swamp_Thing
237,Tenebrae,1982,/wiki/Tenebrae
238,The Thing (1982),1982,/wiki/The_Thing_(1982)
239,Unhinged,1982,/wiki/Unhinged
240,Visiting Hours,1982,/wiki/Visiting_Hours
241,White Dog,1982,/wiki/White_Dog
242,Xtro,1982,/wiki/Xtro
243,Amityville 3-D (1983),1983,/wiki/Amityville_3-D_(1983)
244,Christine (1983),1983,/wiki/Christine_(1983)
245,Cujo (1983),1983,/wiki/Cujo_(1983)
246,De Lift (1983),1983,/wiki/De_Lift_(1983)
247,The Dead Zone (1983),1983,/wiki/The_Dead_Zone_(1983)
248,The Deadly Spawn,1983,/wiki/The_Deadly_Spawn
249,The House on Sorority Row,1983,/wiki/The_House_on_Sorority_Row
250,Jaws 3-D,1983,/wiki/Jaws_3-D
251,Mausoleum,1983,/wiki/Mausoleum
252,One Dark Night,1983,/wiki/One_Dark_Night
253,Psycho II,1983,/wiki/Psycho_II
254,Sleepaway Camp,1983,/wiki/Sleepaway_Camp
255,Something Wicked This Way Comes (1983),1983,/wiki/Something_Wicked_This_Way_Comes_(1983)
256,Spasms,1983,/wiki/Spasms
257,Sweet Sixteen,1983,/wiki/Sweet_Sixteen
258,The Being,1983,/wiki/The_Being
259,The Final Terror,1983,/wiki/The_Final_Terror
260,Twilight Zone: The Movie,1983,/wiki/Twilight_Zone:_The_Movie
261,Videodrome,1983,/wiki/Videodrome
262,A Nightmare on Elm Street (1984),1984,/wiki/A_Nightmare_on_Elm_Street_(1984)
263,C.H.U.D.,1984,/wiki/C.H.U.D.
264,Children of the Corn (1984),1984,/wiki/Children_of_the_Corn_(1984)
265,The Company of Wolves (1984),1984,/wiki/The_Company_of_Wolves_(1984)
266,Firestarter (1984),1984,/wiki/Firestarter_(1984)
267,Friday the 13th: The Final Chapter,1984,/wiki/Friday_the_13th:_The_Final_Chapter
268,Gremlins,1984,/wiki/Gremlins
269,Monster Dog,1984,/wiki/Monster_Dog
270,Rats: Night of Terror,1984,/wiki/Rats:_Night_of_Terror
271,Razorback,1984,/wiki/Razorback
272,Scream for Help,1984,/wiki/Scream_for_Help
273,"Shake, Rattle and Roll",1984,"/wiki/Shake,_Rattle_and_Roll"
274,"Silent Night, Deadly Night",1984,"/wiki/Silent_Night,_Deadly_Night"
275,Splatter University,1984,/wiki/Splatter_University
276,A Nightmare on Elm Street 2: Freddy's Revenge (1985),1985,/wiki/A_Nightmare_on_Elm_Street_2:_Freddy%27s_Revenge_(1985)
