Horror Wiki Index,char index,actor,character
1130,5,Alexis Kelley,Sheryl
645,0,Chulachak Chakrabongse,Sun
645,1,Sririta Jensen,Rainbow
645,2,Paula Taylor,Meena
645,3,Thepparit Raiwin,Chi
645,4,Norajan Sangigern,Wawa
645,5,Titinun Keatanakon,Rajit
645,6,Ramit Romon,Moo Priew
645,7,Pisut Praesangeam,Officer at station
645,8,Janeen Lyons,MTV Veejay
430,0,Lucio Fulci,Lucio Fulci
430,1,Brett Halsey,Human Monster
430,2,David L. Thompson,Professor Egon Schwarz
430,3,Jeoffrey Kannedy,Officer Gabriell
430,4,Malisa Longo,Katya Schwarz
430,5,Ria De Simone,Sopran
430,6,Sacha Darwin,Woman in the oven
430,7,Robert Egon,Robert Egon
262,0,Heather Langenkamp,Heather Langenkamp
262,1,Robert Englund,Freddy Krueger
262,2,Johnny Depp,Glen Lantz
262,3,Amanda Wyss,Tina Gray
262,4,Nick Corri,Rod Lane
262,5,John Saxon,John Saxon
262,6,Ronee Blakley,Marge Thompson
908,0,Jackie Earle Haley,Freddy Krueger
908,1,Rooney Mara,Nancy Holbrook
908,2,Kyle Gallner,Quentin Smith
908,3,Katie Cassidy,Kris Fowles
908,4,Thomas Dekker,Jesse Braun
908,5,Kellan Lutz,Dean Russell
908,6,Connie Britton,Gwen Holbrook
908,7,Clancy Brown,Alan Smith
908,8,Aaron Yoo,Marcus Yeon
276,0,Mark Patton,Jesse Walsh
276,1,Kim Myers,Lisa Webber
276,2,Robert Englund,Freddy Krueger/Bus driver
276,3,Robert Rusler,Ron Grady
276,4,Clu Gulager,Ken Walsh
276,5,Hope Lange,Cheryl Walsh
276,6,Christie Clark,Angela Walsh
276,7,Marshall Bell,Coach Schneider
276,8,Melinda O. Fee,Mrs. Webber
276,9,Tom McFadden,Eddie Webber
276,10,Sydney Walsh,Kerry
323,0,Heather Langenkamp,Dr. Nancy Thompson
323,1,Patricia Arquette,Kristen Parker
323,2,Robert Englund,Freddy Krueger
323,3,Jennifer Rubin,Taryn White
323,4,Craig Wasso,Dr. Neil Gordon
323,5,Ken Sagoes,Roland Kincaid
323,6,Rodney Eastman,Joey Crusel
323,7,Bradley Gregg,Phillip Anderson
323,8,Ira Heiden,Will Stanton
323,9,Laurence Fishburne,Max Daniels
323,10,Penelope Sudrow,Jennifer Caulfield
323,11,Beverly Bonner,Casey
323,12,John Saxon,Donald Thompson
383,0,Robert Englund,Freddy Krueger and nurse
383,1,Lisa Wilcox,Alice Johnson
383,2,Danny Hassel,Dan Jordan
383,3,Tuesday Knight,Kristen Parker
383,4,Ken Sagoes,Roland Kincaid
383,5,Rodney Eastman,Joey Crusel
383,6,Andras Jones,Rick Johnson
383,7,Brooke Theiss,Debbie Stevens
383,8,Toy Newkirk,Sheila Kopecky
383,9,Nicholas Mele,Mr. Dennis Johnson
383,10,Brooke Bundy,Elaine Parker
383,11,Linnea Quigley,soul from Freddy's chest
394,0,Robert Englund,Freddy Krueger
394,1,Lisa Wilcox,Alice Johnson
394,2,Beatrice Boepple,Amanda Krueger
394,3,Whit Hertford,Jacob Johnson
394,4,Kelly Jo Minter,Yvonne Miller
394,5,Danny Hassel,Dan Jordan
394,6,Erika Anderson,Greta Gibson
394,7,Nicholas Mele,Dennis Johnson
394,8,Joe Seely,Mark Grey
394,9,Valorie Armstrong,Doris Jordan
394,10,Burr DeBenning,Mr. Jordan
394,11,Clarence Felder,Edmund A. Gray
394,12,Beverly Bonner,Casey
394,13,Kara Marie,Baby Jacob Johnson
1161,0,John Krasinski,Lee Abbott
1161,1,Emily Blunt,Evelyn Abbott
1161,2,Millicent Simmonds,Regan Abbott
1161,3,Noah Jupe,Marcus Abbott
1161,4,Cade Woodward,Beau Abbott
1161,5,Ezekiel Cavoli and Evangelina Cavoli,newborn Baby Abbott.
667,0,Im Soo-jung,Bae Su-mi
667,1,Moon Geun-young,Bae Su-yeon
667,2,Yum Jung-ah,Heo Eun-joo
667,3,Kim Kap-soo,Bae Moo-hyeon
667,4,Lee Seung-bi,Mi-hee
667,5,Lee Dae-yeon,Su-mi's doctor
667,6,Park Mi-hyun,Mrs Bae
667,7,Woo Ki-hong,Sun-kyu
32,0,Christina von Blanc,Christina Benson
32,1,Britt Nichols,Carmencé
32,2,Rosa Palomar,Aunt Abigail
32,3,Anne Libert,The Queen of the Night
32,4,Howard Vernon,Uncle Howard
32,5,Paul Muller,Ernesto Pablo Reiner
533,0,Nafisa Ali,Suzy D'Silva
533,1,Dharmendra,Jesu
533,2,Girish Karnad,Inspector Khan
533,3,Amjad Khan,Alphonso
533,4,Kader Khan,D'Costa
533,5,Padma Khanna,Rosie K. Crasto
533,6,Ravi Kishan,Mahesh Kumar
533,7,Hema Malini,Jesu's girlfriend
533,8,Vinod Mehra,Peter
51,0,William Marshall,Bishop Garnet Williams
51,1,Terry Carter,Rev. Emmett Williams
51,2,Austin Stoker,Det. Cass Potter
51,3,Carol Speed,Abby Willimas
