Horror Wiki Index,char index,actor,character
571,8,Raquel Beaudene,Young Alex
571,9,Tiffanie Ann Taylor,Young Sandra
571,10,Joseph S. Griffo,Photographer
571,11,Robert LaSardo,Candyman
571,12,Mark Paskell,Clown
571,13,Ellen Albertini Dow,Mrs. Meltzer
571,14,Andrew Craig,Worker
492,0,Diane Ladd,Dr. Jane Tiptree
492,1,Raphael Sbarge,Doc Smith
492,2,Jennifer Runyon,Ann Thrush
492,3,Harrison Page,Sheriff Fowler
492,4,Ned Bellamy,Fallon
492,5,Clint Howard,Friar
519,0,John Savage,Jack Reed
519,1,Cliff De Young,Tom McQuade
519,2,Don Stroud,Ben Kahade
519,3,Rick Dean,Monk
519,4,Arabella Holzbog,Sarah Rawlins
535,0,Scott Valentine,Col. Rance Higgins
535,1,Janet Gunn,Dr. Hodges
535,2,Rick Dean,Polchek
535,3,Anthony Peck,Gen. Pete Mercer
535,4,Rodger Halston,Sanders
535,5,Terri J. Vaughn,B.T. Coolidge
535,6,Billy Burnette,Furguson
535,7,Morgan Englund,Rossi
535,8,Stephen Lee,Sergeant
535,9,Justina Vail,Proudfoot
535,10,Cyril O'Reilly,Dolan
535,11,Abraham Gordon,Billings
535,12,Michael McDonald,Police Officer Wilson
535,13,David Roberson,Johnson
535,14,Jonathan Winfrey,Bob
1016,0,Chloë Grace Moretz,Carrie White
1016,1,Julianne Moore,Margaret White
1016,2,Judy Greer,Miss Desjardin
1016,3,Gabriella Wilde,Sue Snell
1016,4,Ansel Elgort,Tommy Ross
1016,5,Portia Doubleday,Chris Hargensen
1016,6,Alex Russell,Billy Nolan
1016,7,Barry Henley,Principal Morton
1016,8,Zoe Belkin,Tina Blake
1016,9,Karissa Strain,Nicki Watson
1016,10,Katie Strain,Lizzy Watson
1016,11,Max Topplin,Jackie Talbot
1016,12,Samantha Weinstein,Heather Shyres
1016,13,Connor Price,Freddy Holt
1016,14,Demetrius Joyette,George Dawson
1016,15,Mouna Traore,Erika Gogan
1016,16,Cynthia Preston,Eleanor Snell
1016,17,Philip Nozuka,Ernest Peterson
1016,18,Kyle Mac,Kenny Garson
648,0,Angela Bettis,Carrie White
648,1,Patricia Clarkson,Margaret White
648,2,Rena Sofer,Miss Desjarden
648,3,Kandyse McClure,Sue Snell
648,4,Emilie De Ravin,Chris Hargensen
648,5,Katharine Isabelle,Tina Blake
648,6,Chelan Simmons,Helen Shyres
648,7,Tobias Mehler,Tommy Ross
648,8,Jesse Cadotte,Billy Nolan
648,9,Meghan Black,Norma Watson
648,10,David Keith,Detective Mulchaey
648,11,Steve Byers,Roy Evarts
648,12,Miles Meadows,Kenny Garson
648,13,Laurie Murdoch,Principal Morton
648,14,Michael Kopsa,John Hargensen
648,15,Malcolm Scott,Jackie Talbot
648,16,Andrew Robb,Danny Erbter
648,17,Jodelle Micah Ferland,Little Carrie White
648,18,Michaela Mann,Estelle Horan
82,0,Sissy Spacek,Carrie White
82,1,Piper Laurie,Margaret White
82,2,Amy Irving,Sue Snell
82,3,William Katt,Tommy Ross
82,4,John Travolta,Billy Nolan
82,5,Nancy Allen,Chris Hargensen
82,6,Betty Buckley,Miss Collins
82,7,P. J. Soles,Norma Watson
82,8,Priscilla Pointer,Mrs. Snell
82,9,Sydney Lassick,Mr. Fromm
82,10,Stefan Gierasch,Mr. Morton
82,11,Michael Talbott,Freddy De Louis
82,12,Rory Stevens,Kenny Garson
82,13,Doug Cox,The Beak
82,14,Harry Gold,George Dawson
82,15,Edie McClurg,Helen Shyres
82,16,Cindy Daly,Cora Wilson
82,17,Dierdre Berthrong,Rhonda Wilson
82,18,Katie Irving,Katie O'Shea
82,19,Sharon Benyakar,Ruth Gogan
795,0,Eriko Sato,Kyôko Yamashita
795,1,Haruhiko Kato,Noboru Matsuzaki
795,2,Chiharu Kawai,Mayumi Sasaki
795,3,Rie Kuwana,Mika Sasaki
795,4,Kazuyuki Matsuzawa,Hideo Tamura
795,5,Kaori Sakagami,Saori Tamura
795,6,Sakina Kuwae,Natsuki Tamura
795,7,Yûto Kawase,Masatoshi Kita
795,8,Ryoko Takizawa,Kazuko Yoshida
795,9,Saaya Irie,Shiho Nakajima
795,10,Mei Tanaka,Yukiko Yoshida
795,11,Aoi Shimoyama,Shingo Kuwabata
795,12,Yūrei Yanagi,Detective Kubo
795,13,Kôichirô Nishi,Kyôko's Ex-Husband
795,14,Hiroto Itô,Young Noboru Matsuzaki
795,15,Ayu Kanesaki,Ai Ôno
795,16,Miki Mizuno,Taeko Matsuzaki/Kuchisake-onna
839,0,Natasha Charles Parker,Gina
839,1,Erik Fones,Bobby Shaw Carver
839,2,Matt Carmody,Pete
839,3,Neil Kubath,Bryan
839,4,David G. Holland,Billy Hall Carver
839,5,Jonathan Rockett,Zack
839,6,Kristyn Green,Rachel
839,7,Luke Vitale,Quixley
839,8,Ursula Taherian,Kate
796,0,Shannyn Sossamon,Victoria
796,1,Alecia Moore,Carolyn
796,2,Emil Hostina,Henry
796,3,Sandi Dragoi,Llaves
796,4,Mihai Stanescu,Jean Michele
796,5,Cabral Ibacka,Hugo
796,6,Radu Andrei Micu,Nico
796,7,Cain Manoli,Leon
363,0,Debrah Farentino,Whitney Taylor
363,1,Brian Robbins,Phillip Lemley
363,2,Vince Edwards,Norman Meshelski
363,3,Cheryl-Ann Wilson,Lisa
363,4,Jeff Combs,Colin Childress
363,5,Pamela Bellwood,Amanda
363,6,Yvonne de Carlo,Mrs. Briggs
505,0,Rupert Everett,Francesco Dellamorte
505,1,François Hadji-Lazaro,Gnaghi
505,2,Anna Falchi,She
505,3,Mickey Knox,Marshall Straniero
505,4,Anton Alexander,Franco
505,5,Fabiana Formica,Valentina Scanarotti
505,6,Clive Riche,Dr. Vercesi
505,7,Stefano Masciarelli,Mayor Scanarotti
505,8,Alessandro Zamattio,Claudio
505,9,Katja Anton,Claudio's girlfriend
505,10,Barbara Cupisti,Magda
505,11,Patrizia Punzo,Claudio's mother
505,12,Renato Doris,She's husband
910,0,Nikki Reed,Jessie Campbell
910,1,Keith David,Detective Jim Crenshaw
910,2,Michael J. Pagan,Michael
910,3,Cody Kasch,Neil Conners
910,4,Keith David,Detective Jim Crenshaw
910,5,Brad Dourif,Mr. Smirker
910,6,Noah Segan,Dante
910,7,David Zahedian,Brad
910,8,Cherilyn Wilson,Rachael Conners
910,9,Bai Ling,Jai Pham
910,10,Betsy Russell,Sergeant Hamill
910,11,Matt Cohen,Johnny Jones
910,12,Patrick St. Esprit,Dean Jones
910,13,Michael Bailey Smith,the Chain Killer
1017,0,Allison Scagliotti,Leah
1017,1,Francia Racia,Katharine
1017,2,Eddy Rioseco,Paul
1017,3,Chloe Crampton,Kelly
1017,4,Greer Grammer,Nicole
1017,5,Sarah Stouffer,Britney
1017,6,Lindsey Morgan,Noemi
1017,7,Amy Okuda,Ashley
1017,8,Louise Griffiths,Liz Batho / Elizabeth Bathory
975,0,Jonathan Sadowski,Paul Watson
975,1,Jesse McCartney,Chris Watson
975,2,Devin Kelley,Amanda Healey
975,3,Olivia Taylor Dudley,Natalie Sullivan
975,4,Ingrid Bolsø Berdal,Zoe Andersson
975,5,Nathan Phillips,Michael Grant
975,6,Dimitri Diatchenko,Uri Ovechkin
975,7,Miloš Timotijević,Ukrainian Check Point Guard
975,8,Alex Feldman,Medic Goldshimdt
975,9,Kristof Konrad,Medic Grotzky
975,10,Pasha Lychnikoff,Doctor
614,0,Brittany Murphy,Jody Marken
614,1,Jay Mohr,Leonard Marliston
614,2,Michael Biehn,Sheriff Brent Marken
614,3,Jesse Bradford,Rod Harper
614,4,Candy Clark,Marge Marken
614,5,Amanda Anka,Deputy Sheriff Mina
614,6,Joe Inscoe,Tom Sisler
614,7,Gabriel Mann,Kenny Ascott
614,8,Natalie Ramsey,Sandy
614,9,Douglas Spain,Mark
614,10,Bre Blair,Stacy Twelfmann
614,11,Kristen Miller,Cindy
614,12,Michael Weston,Ben
614,13,Keram Malicki-Sanchez,Timmy
264,0,Peter Horton,Burt
264,1,Linda Hamilton,Vicky
264,2,R.G.Armstrong,Diehl
264,3,John Franklin,Isaac
264,4,Courtney Gains,Malachai
264,5,Robby Kiger,Job
264,6,Anne Marie McEvoy,Sarah
264,7,Julie Maddalena,Rachel
264,8,Jonas Marlowe,Joseph
870,0,David Anders,Burt
870,1,Kandyse McClure,Vicky
870,2,Remington Jennings,Joseph
870,3,Daniel Newman,Malachai
870,4,Preston Bailey,Isaac
870,5,Alexa Nikolas,Ruth
870,6,Creighton Fox,Peter
870,7,Paul Butler,Jr as Nahum
870,8,Ryan Bertroche,Amos
870,9,Austin Coobs,Mark
870,10,Dominick Plue,Jacob
870,11,Shawn Kelly,David
870,12,Zack Moody,Extra
870,13,Isabelle Fuhrman,Additional Voices
870,14,Leo Howard,Additional Voices
870,15,Emily Rose Everhard,Additional Voices
589,0,Natalie Ramsey,Hannah Martin
589,1,John Franklin,Isaac Chroner
589,2,Paul Popowich,Gabriel
589,3,Nancy Allen,Rachel Colby
589,4,Stacy Keach,Dr. Michaels
589,5,Gary Bullock,Zachariah
483,0,Ryan Bollman,Micah
483,1,Paul Scherrer,Danny Garret
483,2,Terence Knox,John Garret
483,3,Christie Clark,Lacey Hellerstat
483,4,Ned Romero,Frank Redbear
483,5,Rosalind Allen,Angela Casual
520,0,Daniel Cerny,Eli Porter
520,1,Ron Melendez,Joshua
520,2,Jim Metzler,William Porter
520,3,Nancy Lee Grahn,Amanda Porter
520,4,Michael Ensign,Father Frank Nolan
520,5,Jon Clair,Malcom Elkman
520,6,Mari Morrow,Elkman
520,7,Duke Stroud,Earl
520,8,Rif Hutton,Arnold
520,9,Garvin Funches,T-Loc
520,10,Johnny Legend,Derelict Man
520,11,Gina St. John,Diane
520,12,Yvette Freeman,Samantha
520,13,Terence Mathews,Dwayne
520,14,James O'Sullivan,Charles Brady
520,15,Charlize Theron,Young Woman
536,2,Karen Black,June Rhodes
536,3,Mark Salling,James Rhodes
536,4,Brandon Kleyla,Josiah
627,0,Claudette Mink,Jamie
627,1,Kyle Cassie,The Armbrister
627,2,Crystal Lowe,Tiffany
627,3,Troy Yorke,Jerry'
627,4,Michael Rogers,Stan
627,5,Sean Smith,Boy Preacher Abel
627,6,Michael Ironside,The Priest
627,7,Taylor Hobbs,Girl #1
627,8,Jeffrey Ballard,Boy #1
627,9,Luoise Grant,Hattie Soames
627,10,John B. Destry,Cranky Man
572,0,Stacy Galina,Allison
572,1,Alexis Arquette,Greg
572,2,Eva Mendes,Kir
572,3,Adam Wylie,Ezekiel
572,4,Greg Vaughan,Tyrus
572,5,Ahmet Zappa,Lazlo
572,6,David Carradine,Luke Enright
572,7,Olivia Burnette,Lily
572,8,Dave Buzzotta,Jacob
572,9,Fred Williamson,Sheriff Skaggs
20,0,Alan Ormsby,Alan
20,1,Valerie Mamches,Val.
20,2,Jeff Gillen,Jeff
20,3,Anya Ormsby,Anya
20,4,Paul Cronin,Paul
20,5,Jane Daly,Terry
20,6,Roy Engleman,Roy
20,7,Robert Philip,Emerson
20,8,Bruce Solomon,Winns
20,9,Alecs Baird,Caretaker
20,10,Seth Sklarey,Orville Dunworth
364,0,Brad Dourif,Charles Lee Ray/voice of Chucky
364,1,Alex Vincent,"Andrew William ""Andy"" Barclay"
364,2,Catherine Hicks,Karen Lee Barclay
364,3,Chris Sarandon,Detective Mike Norris
364,4,Dinah Manoff,Maggie Peterson
364,5,Tommy Swedlow,Jack Santos
364,6,Jack Colvin,Dr. Phillip Ardmore
364,7,Raymond Oliver,John Aelsop Bishop
364,8,Neil Giuntoli,Eddie Caputo
364,9,Alan Wilder,Mr. Walter Criswell
364,10,Aaron Osborne,the Orderly
364,11,Juan Ramirez,the Peddler
1201,0,Aubrey Plaza,Karen Barclay
1201,1,Gabriel Bateman,Andy Barclay
1201,2,Brian Tyree Henry,Detective Mike Norris
1201,3,Mark Hamill,the voice of Chucky
1201,4,Tim Matheson,Henry Kaslan
1201,5,Beatrice Kitsos,Falyn
1201,6,Ty Consiglio,Pugg
1201,7,Marlon Kazadi,Omar
1201,8,David Lewis,Shane
431,0,Peter Haskell,Mr. Sullivan
431,1,Brad Dourif,the voice of Chucky
431,2,Alex Vincent,Andy Barclay
431,3,Jenny Agutter,Joanne Simpson
431,4,Gerrit Graham,Phil Simpson
431,5,Christine Elise,Kyle
431,6,Grace Zabriskie,Grace Poole
431,7,Greg Germann,Mattson
431,8,Beth Grant,Miss Kettlewell
431,9,Ed Kreiger,Unnamed Toy Factory Technician #1
431,10,Catherine Hicks,Karen Barclay
431,11,Chris Sarandon,Mike Norris
460,0,Andrew Robinson,Major Botnick
460,1,Peter Haskell,Mr. Sullivan
460,2,Brad Dourif,Chucky
460,3,Justin Whalin,Andy Barclay
460,4,Perrey Reeves,Kristen De Silva
460,5,Jeremy Sylvers,Ronald Tyler
460,6,Travis Fine,Cadet Lieutenant Colonel Brett C. Shelton
460,7,Dean Jacobson,Harold Aubrey Whitehurst
460,8,Dakin Matthews,Colonel Cochrane
460,9,Burke Byrnes,Sergeant Clark
460,10,Matthew Walker,Sergeant Ellis
298,0,Kelli Maroney,Alison Parks
298,1,Tony O'Dell,Ferdy Meisel
298,2,Russell Todd,Rick Stanton
298,3,Karrie Emerson,Linda Stanton
298,4,Barbara Crampton,Suzie Lynn
298,5,Nick Segal,Greg Williams
298,6,Suzee Slater,Leslie Todd
298,7,John Terlesky,Mike Brennan
298,8,Paul Bartel,Paul Bland
298,9,Mary Woronov,Mary Bland
298,10,Angela Aames,Miss Vanders
298,11,Dick Miller,Walter Paisley
298,12,Paul Coufos,Dr. Stan Simon
298,13,Arthur Roberts,Mr. Todd
298,14,Gerrit Graham,Technician Nessler
298,15,Lawrence Guy,Dr. Carrington
298,16,Toni Naples,Lead bathing beauty
298,17,Mel Welles,Cook
298,18,Jim Wynorski,Killbots
298,19,Rodney Eastman,Shoplifter
57,0,Jackie Cooper,Raymond Couzins
57,1,Alex Cord,Steven Mayes
57,2,Richard Jaeckel,Major Ellis
57,3,Bradford Dillman,Peter Macomber
57,4,Diana Muldaur,Alana Fitzgerald
57,5,Pedro Armendáriz,Jr. as Luis Cabral
57,6,Lincoln Kilpatrick,Woody Russo
244,0,Keith Gordon,"Arnold ""Arnie"" Cunningham"
244,1,John Stockwell,Dennis Guilder
244,2,Alexandra Paul,Leigh Cabot
244,3,Robert Prosky,Will Darnell
244,4,Harry Dean Stanton,"Detective Rudolph ""Rudy"" Junkins"
244,5,Christine Belford,Regina Cunningham
244,6,Roberts Blossom,George LeBay
244,7,Kelly Preston,Roseanne
244,8,William Ostrander,"Clarence ""Buddy"" Repperton"
244,9,Malcolm Danare,"Peter ""Moochie"" Welch"
244,10,Steven Tash,"Richard ""Richie"" Trelawney"
244,11,Stuart Charno,"Donald ""Don"" Vandenberg"
244,12,David Spielberg,Mr. Casey
155,0,Brandon Maggart,Harry Stadling
155,1,Jeffrey DeMunn,Philip Stadling
155,2,Dianne Hull,Jackie Stadling
155,3,Andy Fenwick,Dennis Stadling
155,4,Brian Neville,Marc Stadling
155,5,Joe Jamrog,Frank Stoller
155,6,Peter Neuman,Moss Garcia
155,7,Lance Holcomb,Scotty Goodrich
155,8,Elizabeth Ridge,Susie Lovett
155,9,Chris Browning,Richie Sharp
155,10,Tyrone Holmes,Frankie
155,11,Patricia Richardson,Mrs. Garcia
155,12,Wally Moran,Young Philip Stadling
155,13,Gus Salud,Young Harry Stadling
155,14,Ellen McElduff,Mrs. Stadling
155,15,Brian Hartigan,Mr. Stadling
155,16,Mark Chamberlin,Charles
1074,0,Jessica Ann Bonner,Emma
1074,1,Frank Jakeman,Evil Santa/Simon Carter
1074,2,Dani Thompson,Becky
1074,3,Charley McDougall,John
1074,4,Lydia Kay,Sarah
1074,5,Stuart Lawson,Paul
1074,6,Laura Wilson,Chloe
1074,7,Paul Terry,Detective Sergeant Holden
1074,8,Hannah Brown,Sergeant Holmes
797,0,Patrick Bradford,Dave Clipton
797,1,Kevin Atwell,Sheriff Benny Tars
797,2,Micheal Perron,Loyd Riger
797,3,Hayden Christian,Mr. Whitten
397,0,Hugh Quarshie,Father Gus
397,1,Tomas Arana,Evan Altereus
397,2,Feodor Chaliapin,Jr. as The Bishop
397,3,Barbara Cupisti,Lisa Altereus
397,4,Antonella Vitale,Bridal Model
397,5,Giovanni Lombardo Radice,Reverend
397,6,Asia Argento,Lotte
397,7,Roberto Caruso,Freddie
397,8,Roberto Corbiletto,Hermann
397,9,Alina De Simone,Lotte's Mother
397,10,Olivia Cupisti,Mira
397,11,Gianfranco De Grassi,The Accuser
397,12,Claire Hardwick,Joanna
397,13,Lars Jorgenson,Bruno
397,14,John Karlsen,Heinrich
397,15,Katherine Bell Marjorie,Heinrich's Wife
397,16,Riccardo Minervini,Schoolboy
397,17,Enrico Osterman,The Torturer
397,18,Micaela Pignatelli,Fashion shoot photographer
397,19,Patrizia Punzo,Miss Brückner
397,20,John Richardson,Architect
397,21,Matteo Rocchietta,Younger Schoolboy
397,22,Michele Soavi,1st Policeman at Lisa's House
156,0,Christopher George,Peter Bell
156,1,Catriona MacColl,Mary Woodhouse
156,2,Carlo De Mejo,Gerry
156,3,Janet Agren,Sandra
156,4,Antonella Interlenghi,Emily Robbins
156,5,Giovanni Lombardo Radice,Bob
156,6,Fabrizio Jovine,Father William Thomas
156,7,Michele Soavi,Tommy Fisher
840,0,Michael Stahl-David,Robert Hawkins
840,1,Mike Vogel,Jason Hawkins
840,2,Odette Yustman,Beth McIntyre
840,3,Lizzy Caplan,Marlena Diamond
840,4,Jessica Lucas,Lily Ford
840,5,T. J. Miller,Hudson Platt
1045,0,Laura Allen,Meg McCoy
1045,1,Andy Powers,Kent McCoy
1045,2,Peter Stormare,Herbert Karlsson
1045,3,Elizabeth Whitmere,Denise
1045,4,Christian Distefano,Jack McCoy
1045,5,Chuck Shamata,Walt
1045,6,Robert Reynolds,Dr. Martin Karlsson
1045,7,Lucas Kelly,Colton
1045,8,Michael Riendeau,Robbie
1045,9,Matthew Stefiuk,Detective
1045,10,Miller Timlin,Camper
1045,11,Eli Roth,Frowny the Clown
752,0,Ingrid Bolsø Berdal,Jannicke
752,1,Thomas Alf Larsen,Eirik
752,2,Rolf Kristian Larsen,Morten Tobias
752,3,Viktoria Winge,Ingunn
752,4,Endre Martin Midtstigen,Mikal
752,5,Rune Melby,the Mountain Man
752,6,Erik Skjeggedal,the boy
911,0,Ida Marie Bakkerud,Hedda
911,1,Kim S. Falck-Jørgensen,Anders
911,2,Pål Stokka,Magne
911,3,Julie Rusti,Siri
911,4,Arthur Berning,Simen
911,5,Sturla Rui,Knut
911,6,Terje Ranes,Einar
911,7,Nils Johnson,Jon
911,8,Hallvard Holmen,Bjørn Brath
911,9,Trine Wiggen,Magny Brath
1018,0,Laurence Fishburne,Briggs
1018,1,Kevin Zegers,Sam
1018,2,Bill Paxton,Mason
1018,3,Charlotte Sullivan,Kai
1018,4,John Tench,Viktor
1018,5,Lisa Berry,Nara
1018,6,Atticus Mitchell,Graydon
1018,7,Dru Viergever,Feral Leader
1018,8,Romano Orzari,Reynolds
1018,9,Michael Mando,Cooper
1018,10,Earl Pastko,the Scientist
1018,11,Julian Richings,Leyland
1102,0,Anne Hathaway,Gloria
1102,1,Hannah Cheramy,young Gloria
1102,2,Jason Sudeikis,Oscar
1102,3,Nathan Ellison,young Oscar
1102,4,Dan Stevens,Tim
1102,5,Austin Stowell,Joel
1102,6,Tim Blake Nelson,Garth
1102,7,Rukiya Bernard,Marie
1102,8,Agam Darshi,Ash
112,0,Geneviève Bujold,Dr. Susan Wheeler
112,1,Michael Douglas,Dr. Mark Bellows
112,2,Richard Widmark,Dr. George Harris
112,3,Elizabeth Ashley,Nurse Emerson
112,4,Rip Torn,Dr. George
112,5,Lois Chiles,Nancy Greenly
112,6,Hari Rhodes,Dr. Morelindl
112,7,Richard Doyle,Jim
112,8,Tom Selleck,Sean Murphy
112,9,Lance LeGault,Vince
265,0,Sarah Patterson,Rosaleen
265,1,Angela Lansbury,Granny
265,2,David Warner,Father
265,3,Tusse Silberg,Mother
265,4,Micha Bergese,Huntsman
265,5,Brian Glover,Amorous Boy's father
265,6,Graham Crowden,Old Priest
265,7,Kathryn Pogson,Young Bride
265,8,Stephen Rea,Young Groom
265,9,Georgia Slowe,Alice
265,10,Susan Porrett,Amorous Boy's mother
265,11,Shane Johnstone,Amorous Boy
265,12,Dawn Archibald,Witch Woman
265,13,Richard Morant,Wealthy Groom
265,14,Danielle Dax,Wolfgirl
265,15,Jim Carter,Second Husband
265,16,Terence Stamp,The Devil
1019,0,Vera Farmiga,Lorraine Warren
1019,1,Patrick Wilson,Ed Warren
1019,2,Lili Taylor,Carolyn Perron/Bathsheba
1019,3,Ron Livingston,Roger Perron
1019,4,Shanley Caswell,Andrea Perron
1019,5,Hayley McFarland,Nancy Perron
1019,6,Joey King,Christine Perron
1019,7,Mackenzie Foy,Cindy Perron
1019,8,Kyla Deaver,April Perron
1019,9,Shannon Kook,Drew
1019,10,John Brotherton,Brad
1019,11,Sterling Jerins,Judy Warren
1019,12,Marion Guyot,Georgiana Moran
1019,13,Steve Coulter,Father Gordan
1019,14,Joseph Bishara,Bathsheba
1103,0,Vera Farmiga,Lorraine Warren
1103,1,Patrick Wilson,Ed Warren
1103,2,Frances O'Connor,Peggy Hodgson
1103,3,Madison Wolfe,Janet Hodgson
1103,4,Simon McBurney,Maurice Grosse
1103,5,Franka Potente,Anita Gregory
1103,6,Lauren Esposito,Margaret Hodgson
1103,7,Patrick McAuley,Johnny Hodgson
1103,8,Benjamin Haigh,Billy Hodgson
1103,9,Maria Doyle Kennedy,Peggy Nottingham
1103,10,Simon Delaney,Vic Nottingham
1103,11,Shannon Kook,Drew Thomas
1103,12,Sterling Jerins,Judy Warren
1103,13,Bob Adrian,Bill Wilkins
1103,14,Abhi Sinha,Harry Whitmark
1103,15,Robin Atkin Downes,Demon
1103,16,Bonnie Aarons,Demon Nun
1103,17,Javier Botet,The Crooked Man
157,0,Ian McCulloch,Commander Ian Hubbard
157,1,Louise Marleau,Colonel Stella Holmes
157,2,Marino Masé,Lieutenant Tony Aris
157,3,Siegfried Rauch,Hamilton
157,4,Gisela Hahn,Perla de la Cruz
157,5,Carlo De Mejo,Agent Young
157,6,Carlo Monni,Dr. Turner
157,7,Mike Morris,Dr. Hilton
157,8,Martin Sorrentino,Black Warehouse Doorman
157,9,Angelo Ragusa,Warehouse Doorman
157,10,Brigitte Wagner,Doctor
1075,0,Elijah Wood,Clint Hadson
1075,1,Alison Pill,Lucy McCormick
1075,2,Rainn Wilson,Wade Johnson
1075,3,Morgan Lily,Tamra
1075,4,Jack McBrayer,Tracy Lacey
1075,5,Jorge Garcia,Rick
1075,6,Nasim Pedrad,Rebekkah Halverson
1075,7,Leigh Whannell,Doug
1075,8,Sunny May Allison,Shelly
1075,9,Peter Kwong,Mr. Hitachi
1075,10,Miles Elliot,Dink
1075,11,Jake Brennan,Lincoln
1075,12,Jared Breeze,Safety Helmet Boy
1075,13,Aiden Lovekamp,Racer
1075,14,Nikita Ager,Patriot’s Mom
1075,15,Armani Jackson,Calvin
1075,16,Cooper Roth,Patriot
1075,17,Ian Brennan,Vice Principal Simms
1075,18,Tammy Baird,Mrs. Birk
1075,19,Matt Jones,Sheriff Dave
872,0,Dakota Fanning,Coraline Jones
872,1,Teri Hatcher,Mel Jones
872,2,Jennifer Saunders,April Spink
872,3,Dawn French,Miriam Forcible
872,4,Ian McShane,Sergei Alexander Bobinsky
872,5,John Hodgman,Charlie Jones
872,6,John Linnell,Other Father's singing voice
872,7,Robert Bailey Jr.,"Wyborne ""Wybie"" Lovat"
872,8,Keith David,The Cat
872,9,Caroline Crawford,Mrs. Lovat
872,10,Aankha Neal,Sweet Ghost Girl
872,11,George Selick,Ghost Boy
872,12,Hannah Kaiser,Tall Ghost Girl
872,13,Marina Budovsky,Photo Friend #1
872,14,Harry Selick,Photo Friend #2
1227,0,Cody Renee Cameron,Barbie
1227,1,Russell Coker,Corona Zombie
1227,2,Robin Sydney,Kendra
710,0,Johnny Depp,Victor Van Dort
710,1,Helena Bonham Carter,Emily the Corpse Bride
710,2,Emily Watson,Victoria Everglot
710,3,Tracey Ullman,two characters
710,4,Nell Van Dort,Victor's socially ambitious mother who holds contempt for her son
710,5,Hildegarde,the elderly
710,6,Paul Whitehouse,three characters
710,7,William Van Dort,Victor's absent-minded and tactless father
710,8,Mayhew,the Van Dorts' coachman
710,9,Paul the Head Waiter,literally
710,10,Joanna Lumley,Maudeline Everglot
710,11,Albert Finney,Finis Everglot
710,12,Richard E. Grant,Barkis Bittern
710,13,Christopher Lee,Pastor Galswells
710,14,Michael Gough,Elder Gutknecht
710,15,Jane Horrocks,two characters
710,16,Black Widow,
710,17,Mrs. Plum,the zombie chef working at the Ball and Socket Pub.
710,18,Enn Reitel,two characters
710,19,Maggot,
710,20,the Town Crier,who alerts the Van Dorts and Everglots about Victor and Emily's marriage
710,21,Deep Roy,General Bonesapart
710,22,Danny Elfman,Bonejangles
710,23,Stephen Ballantyne,Emil
1202,0,Elizabeth Lail,Quinn Harris
1202,1,Jordan Calloway,Matt Monroe
1202,2,Talitha Bateman,Jordan Harris
1202,3,Tichina Arnold,Nurse Amy
1202,4,P. J. Byrne,Father John
1202,5,Peter Facinelli,Dr. Sullivan
1202,6,Anne Winters,Courtney
1202,7,Matt Letscher,Charlie Harris
1202,8,Dillon Lane,Evan
1202,9,Tom Segura,Derek
931,0,Timothy Olyphant,David
931,1,Radha Mitchell,Judy
931,2,Joe Anderson,Russell
931,3,Danielle Panabaker,Becca
931,4,Christie Lynn Smith,Deardra Farnum
931,5,Brett Rickaby,Bill Farnum
931,6,Preston Bailey,Nicholas
931,7,John Aylward,Mayor Hobbs
931,8,Joe Reegan,Pvt. Billy Babcock
33,0,Lane Carroll,Judy
33,1,Will MacMillan,David
33,2,Harold Wayne Jones,Clank
33,3,Lloyd Hollar,Colonel Peckem
33,4,Lynn Lowry,Kathy
33,5,Richard Liberty,Artie
33,6,Richard France,Dr. Watts
279,0,Stan Ivar,Captain Mike Davison
279,1,Wendy Schaal,Beth Sladen
279,2,Lyman Ward,David Perkins
279,3,Robert Jaffe,Jon Fennel
279,4,Diane Salinger,Melanie Bryce
279,5,Annette McCarthy,Dr. Wendy H. Oliver
279,6,Marie Laurin,Susan Delambre
279,7,Klaus Kinski,Hans Rudy Hofner
83,0,Jack Elam,Joe Canton
83,1,Dub Taylor,Grandopaw Bridges
83,2,Dennis Fimple,Pahoo
83,3,John David Carson,Rives
83,4,Bill Thurman,Sheriff Billy Carter
83,5,Jim McCullough Jr.,Orville Bridges
83,6,Roy Tatum,Fred/Creature
83,7,Cathryn Hartt,Eve - Waitress
83,8,Becky Smiser,Becky Carter
83,9,Michelle Willingham,Michelle
83,10,Evelyn Hindricks,Grandma Bridhes
83,11,Roger Rankcake,H.B.
83,12,Karen Brooks,Orville's Mother
83,13,Chase Tatum,Baby Orville
83,14,Bob Kyle,Rufus
506,0,Clay Rogers,Mike
506,1,Michael Bon,Bobby
506,2,Sharon Twomey,Margareth
506,3,Laura di Palma,Dorothy
506,4,Ann Wolf,Julie
506,5,Deran Sarafian,Professor
687,0,Franka Potente,Kate
687,1,Vas Blackwood,George
687,2,Ken Campbell,Arthur
687,3,Jeremy Sheffield,Guy
687,4,Paul Rattray,Jimmy
687,5,Kelly Scott,Mandy
687,6,Joe Anderson,Male Model
687,7,Sean Harris,Craig
687,8,Morgan Jones,the Night Watchman
331,0,Linnea Quigley,Bianca
331,1,Ken Abraham,Butch
331,2,Michael Aranda,Jesse
331,3,Richard S. Hawkins,Jake
331,4,Ashlyn Gere,Kate
331,5,Joi Wilson,Woman
223,0,Joe King,Billy
