Death List Index,Title,Death List URL,Stripped Title,Year
69,Beetlejuice,/wiki/Beetlejuice,beetlejuice,
624,The Being,/wiki/The_Being,being,
968,The Being,/wiki/The_Being,being,
969,The Belko Experiment,/wiki/The_Belko_Experiment,belko experiment,
625,The Belko Experiment,/wiki/The_Belko_Experiment,belko experiment,
70,Berserker,/wiki/Berserker,berserker,
71,Better Watch Out (2016),/wiki/Better_Watch_Out_(2016),better watch out,2016
970,The Beyond,/wiki/The_Beyond,beyond,
626,The Beyond,/wiki/The_Beyond,beyond,
72,Bigfoot,/wiki/Bigfoot,bigfoot,
73,Bird Box,/wiki/Bird_Box,bird box,
971,The Bird with the Crystal Plumage,/wiki/The_Bird_with_the_Crystal_Plumage,bird with crystal plumage,
627,The Bird with the Crystal Plumage,/wiki/The_Bird_with_the_Crystal_Plumage,bird with crystal plumage,
628,The Birds,/wiki/The_Birds,birds,
972,The Birds,/wiki/The_Birds,birds,
74,Black Christmas,/wiki/Black_Christmas,black christmas,
75,Black Sheep,/wiki/Black_Sheep,black sheep,
629,The Blackout,/wiki/The_Blackout,blackout,
973,The Blackout,/wiki/The_Blackout,blackout,
76,Blade,/wiki/Blade,blade,
77,Blair Witch Project,/wiki/Blair_Witch_Project,blair witch project,
630,The Blob,/wiki/The_Blob,blob,
975,The Blob (1988),/wiki/The_Blob_(1988),blob,1988
974,The Blob,/wiki/The_Blob,blob,
631,The Blob (1988),/wiki/The_Blob_(1988),blob,1988
78,Blood beach,/wiki/Blood_beach,blood beach,
79,Blood Feast,/wiki/Blood_Feast,blood feast,
80,Blood Harvest,/wiki/Blood_Harvest,blood harvest,
81,Blood Quantum,/wiki/Blood_Quantum,blood quantum,
82,Blood Rage,/wiki/Blood_Rage,blood rage,
83,Blood Surf,/wiki/Blood_Surf,blood surf,
84,Bloodrage,/wiki/Bloodrage,bloodrage,
85,Bloody Birthday,/wiki/Bloody_Birthday,bloody birthday,
86,Bloody Bloody Bible Camp,/wiki/Bloody_Bloody_Bible_Camp,bloody bloody bible camp,
87,Bloody Moon,/wiki/Bloody_Moon,bloody moon,
88,Bloody New Year,/wiki/Bloody_New_Year,bloody new year,
89,Blue Ruin,/wiki/Blue_Ruin,blue ruin,
90,Body Melt,/wiki/Body_Melt,body melt,
91,Bone Eater,/wiki/Bone_Eater,bone eater,
976,The Bone Snatcher,/wiki/The_Bone_Snatcher,bone snatcher,
632,The Bone Snatcher,/wiki/The_Bone_Snatcher,bone snatcher,
92,Bones,/wiki/Bones,bones,
977,The Boneyard,/wiki/The_Boneyard,boneyard,
633,The Boneyard,/wiki/The_Boneyard,boneyard,
93,Boogeyman,/wiki/Boogeyman,boogeyman,
94,Book of Monsters,/wiki/Book_of_Monsters,book of monsters,
95,Brain Damage,/wiki/Brain_Damage,brain damage,
96,Brett Kavanaugh's Little Judicary Shop of Horrors,/wiki/Brett_Kavanaugh%27s_Little_Judicary_Shop_of_Horrors,brett kavanaughs little judicary shop of horrors,
97,Brightburn,/wiki/Brightburn,brightburn,
98,Brightburn Universe,/wiki/Brightburn_Universe,brightburn universe,
99,"BRUCE LEE vs Freddy, Jason, Leatherface & Michael Myers","/wiki/BRUCE_LEE_vs_Freddy,_Jason,_Leatherface_%26_Michael_Myers",bruce lee vs freddy jason leatherface michael myers,
100,Bugs (2003),/wiki/Bugs_(2003),bugs,2003
101,Bunnyman (Series),/wiki/Bunnyman_(Series),bunnyman series,
978,The Burning,/wiki/The_Burning,burning,
634,The Burning,/wiki/The_Burning,burning,
635,The Butchers,/wiki/The_Butchers,butchers,
979,The Butchers,/wiki/The_Butchers,butchers,
102,Cabin Fever,/wiki/Cabin_Fever,cabin fever,
636,The Cabin In the Woods,/wiki/The_Cabin_In_the_Woods,cabin in woods,
980,The Cabin In the Woods,/wiki/The_Cabin_In_the_Woods,cabin in woods,
103,"Caltiki, the Immortal Monster","/wiki/Caltiki,_the_Immortal_Monster",caltiki immortal monster,
104,Candyman,/wiki/Candyman,candyman,
105,Cannibal Campout,/wiki/Cannibal_Campout,cannibal campout,
637,The Car,/wiki/The_Car,car,
981,The Car,/wiki/The_Car,car,
106,Cargo,/wiki/Cargo,cargo,
107,Carnage Counts Lego Intros,/wiki/Carnage_Counts_Lego_Intros,carnage counts lego intros,
108,Carrie,/wiki/Carrie,carrie,
232,Category:Film series,/wiki/Category:Film_series,category film series,
109,Cell (2016),/wiki/Cell_(2016),cell,2016
110,Chainsaw Maid,/wiki/Chainsaw_Maid,chainsaw maid,
638,The Changeling,/wiki/The_Changeling,changeling,
982,The Changeling,/wiki/The_Changeling,changeling,
111,Chawz,/wiki/Chawz,chawz,
112,Chernobyl Diaries,/wiki/Chernobyl_Diaries,chernobyl diaries,
639,The Children,/wiki/The_Children,children,
983,The Children,/wiki/The_Children,children,
115,Children of the Corn,/wiki/Children_of_the_Corn,children of corn,
116,Children Shouldn't Play with Dead Things,/wiki/Children_Shouldn%27t_Play_with_Dead_Things,children shouldnt play with dead things,
113,Child's Play,/wiki/Child%27s_Play,childs play,
114,Child's Play (2019),/wiki/Child%27s_Play_(2019),childs play,2019
117,Chopping Mall,/wiki/Chopping_Mall,chopping mall,
118,Chorakhe,/wiki/Chorakhe,chorakhe,
119,Christina's House,/wiki/Christina%27s_House,christinas house,
120,Christine,/wiki/Christine,christine,
121,Christmas Evil,/wiki/Christmas_Evil,christmas evil,
122,Christmas With Cookie,/wiki/Christmas_With_Cookie,christmas with cookie,
123,Chronicle,/wiki/Chronicle,chronicle,
124,Chucky vs Five Nights at Freddy's vs Toy Story,/wiki/Chucky_vs_Five_Nights_at_Freddy%27s_vs_Toy_Story,chucky vs five nights at freddys vs toy story,
984,The Church,/wiki/The_Church,church,
640,The Church,/wiki/The_Church,church,
125,Circle (2015),/wiki/Circle_(2015),circle,2015
126,Circus Kane,/wiki/Circus_Kane,circus kane,
127,City of Blood,/wiki/City_of_Blood,city of blood,
128,City of the Living Dead,/wiki/City_of_the_Living_Dead,city of living dead,
129,Class of 1984/1999,/wiki/Class_of_1984/1999,class of 1984 1999,
130,Cloverfield,/wiki/Cloverfield,cloverfield,
132,Clown (2014),/wiki/Clown_(2014),clown,2014
131,Clown,/wiki/Clown,clown,
133,Clownado,/wiki/Clownado,clownado,
134,Clownhouse,/wiki/Clownhouse,clownhouse,
985,The Collection,/wiki/The_Collection,collection,
641,The Collection,/wiki/The_Collection,collection,
135,Come to Daddy,/wiki/Come_to_Daddy,come to daddy,
986,The Comeback,/wiki/The_Comeback,comeback,
642,The Comeback,/wiki/The_Comeback,comeback,
643,The Conjuring Universe,/wiki/The_Conjuring_Universe,conjuring universe,
987,The Conjuring Universe,/wiki/The_Conjuring_Universe,conjuring universe,
136,Cooties,/wiki/Cooties,cooties,
137,Copperhead,/wiki/Copperhead,copperhead,
