Death List Index,Title,Death List URL,Stripped Title,Year
675,The House by the Cemetery,/wiki/The_House_by_the_Cemetery,house by cemetery,
317,House of Wax,/wiki/House_of_Wax,house of wax,
318,House on Haunted Hill,/wiki/House_on_Haunted_Hill,house on haunted hill,
676,The House on Sorority Row,/wiki/The_House_on_Sorority_Row,house on sorority row,
677,The House on Sorority Row (Series),/wiki/The_House_on_Sorority_Row_(Series),house on sorority row series,
678,The Howling,/wiki/The_Howling,howling,
679,The Human Centipede,/wiki/The_Human_Centipede,human centipede,
319,Humanoids from the Deep,/wiki/Humanoids_from_the_Deep,humanoids from deep,
680,The Hunger,/wiki/The_Hunger,hunger,
681,The Hunt,/wiki/The_Hunt,hunt,
320,Hush,/wiki/Hush,hush,
321,"Hush...Hush, Sweet Charlotte","/wiki/Hush...Hush,_Sweet_Charlotte",hush hush sweet charlotte,
322,Hydra,/wiki/Hydra,hydra,
323,Hydra (2009),/wiki/Hydra_(2009),hydra,2009
324,I Am Legend,/wiki/I_Am_Legend,i am legend,
325,I Know What You Did Last Summer,/wiki/I_Know_What_You_Did_Last_Summer,i know what you did last summer,
326,I Spit On Your Grave,/wiki/I_Spit_On_Your_Grave,i spit on your grave,
328,Ice Cream Man,/wiki/Ice_Cream_Man,ice cream man,
329,Ice Road Terror,/wiki/Ice_Road_Terror,ice road terror,
330,Idle Hands,/wiki/Idle_Hands,idle hands,
331,In the Mouth of Madness,/wiki/In_the_Mouth_of_Madness,in mouth of madness,
332,In the Shadow of Kilimanjaro,/wiki/In_the_Shadow_of_Kilimanjaro,in shadow of kilimanjaro,
333,Inbred,/wiki/Inbred,inbred,
682,The Incredible Melting Man,/wiki/The_Incredible_Melting_Man,incredible melting man,
683,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,/wiki/The_Incredibly_Strange_Creatures_Who_Stopped_Living_and_Became_Mixed-Up_Zombies,incredibly strange creatures who stopped living and became mixed up zombies,
334,Inferno (1980),/wiki/Inferno_(1980),inferno,1980
335,Inside (2007),/wiki/Inside_(2007),inside,2007
336,Insidious,/wiki/Insidious,insidious,
337,Intruder (1989),/wiki/Intruder_(1989),intruder,1989
685,The Invisible Man (2020),/wiki/The_Invisible_Man_(2020),invisible man,2020
684,The Invisible Man (1933),/wiki/The_Invisible_Man_(1933),invisible man,1933
686,The Invisible Man (Series),/wiki/The_Invisible_Man_(Series),invisible man series,
687,The Invitation,/wiki/The_Invitation,invitation,
338,It (1990's),/wiki/It_(1990%27s),it,1990
339,It (2017),/wiki/It_(2017),it,2017
341,It Conquered the World,/wiki/It_Conquered_the_World,it conquered world,
340,It (film series),/wiki/It_(film_series),it film series,
342,It Follows,/wiki/It_Follows,it follows,
343,It's Alive,/wiki/It%27s_Alive,its alive,
327,I've Been Waiting For You,/wiki/I%27ve_Been_Waiting_For_You,ive been waiting for you,
344,Jack Brooks: Monster Slayer,/wiki/Jack_Brooks:_Monster_Slayer,jack brooks monster slayer,
345,Jack Frost,/wiki/Jack_Frost,jack frost,
346,Jacob,/wiki/Jacob,jacob,
347,Jason Voorhees Personal Trailer,/wiki/Jason_Voorhees_Personal_Trailer,jason voorhees personal trailer,
348,Jaws,/wiki/Jaws,jaws,
349,Jeepers Creepers,/wiki/Jeepers_Creepers,jeepers creepers,
350,Jennifer’s Body,/wiki/Jennifer%E2%80%99s_Body,jennifer s body,
351,Jersey Shore Shark Attack,/wiki/Jersey_Shore_Shark_Attack,jersey shore shark attack,
353,Jigsaw (2002),/wiki/Jigsaw_(2002),jigsaw,2002
352,Jigsaw,/wiki/Jigsaw,jigsaw,
354,Jolly Roger: Massacre at Cutter's Cove,/wiki/Jolly_Roger:_Massacre_at_Cutter%27s_Cove,jolly roger massacre at cutters cove,
355,Joy Ride,/wiki/Joy_Ride,joy ride,
356,Ju-On Series,/wiki/Ju-On_Series,ju on series,
357,Julia's Eyes,/wiki/Julia%27s_Eyes,julias eyes,
358,Jurassic City,/wiki/Jurassic_City,jurassic city,
688,The Jurassic Games,/wiki/The_Jurassic_Games,jurassic games,
359,Jurassic Park,/wiki/Jurassic_Park,jurassic park,
360,Just Before Dawn,/wiki/Just_Before_Dawn,just before dawn,
361,Kavra Animations,/wiki/Kavra_Animations,kavra animations,
362,"Kill, Baby... Kill!","/wiki/Kill,_Baby..._Kill!",kill baby kill,
363,Killer Beach/The Sand,/wiki/Killer_Beach/The_Sand,killer beach sand,
364,Killer Kart,/wiki/Killer_Kart,killer kart,
365,Killer Klowns from Outerspace,/wiki/Killer_Klowns_from_Outerspace,killer klowns from outerspace,
366,Killer Mermaid,/wiki/Killer_Mermaid,killer mermaid,
367,Killer Movie,/wiki/Killer_Movie,killer movie,
368,Killer Piñata,/wiki/Killer_Pi%C3%B1ata,killer piñata,
689,The Killer Shrews,/wiki/The_Killer_Shrews,killer shrews,
369,Killer Sofa,/wiki/Killer_Sofa,killer sofa,
370,Killing Spree,/wiki/Killing_Spree,killing spree,
371,King Kong,/wiki/King_Kong,king kong,
372,Klown Kamp Massacre,/wiki/Klown_Kamp_Massacre,klown kamp massacre,
374,Komodo (1999),/wiki/Komodo_(1999),komodo,1999
373,Komodo,/wiki/Komodo,komodo,
375,Krampus,/wiki/Krampus,krampus,
376,Laid To Rest,/wiki/Laid_To_Rest,laid to rest,
377,Laika Studio Animations,/wiki/Laika_Studio_Animations,laika studio animations,
378,Lake Placid,/wiki/Lake_Placid,lake placid,
379,Las Vegas Bloodbath,/wiki/Las_Vegas_Bloodbath,las vegas bloodbath,
690,The Last House on the Left,/wiki/The_Last_House_on_the_Left,last house on left,
380,Last Words of Victims,/wiki/Last_Words_of_Victims,last words of victims,
691,The Lawnmower Man,/wiki/The_Lawnmower_Man,lawnmower man,
381,Lee Hardcastle Claymations,/wiki/Lee_Hardcastle_Claymations,lee hardcastle claymations,
382,Leprechaun,/wiki/Leprechaun,leprechaun,
384,Let’s Scare Jessica To Death,/wiki/Let%E2%80%99s_Scare_Jessica_To_Death,let s scare jessica to death,
383,Let Us Prey,/wiki/Let_Us_Prey,let us prey,
385,Light Blast,/wiki/Light_Blast,light blast,
692,The Lighthouse,/wiki/The_Lighthouse,lighthouse,
386,Lights Out,/wiki/Lights_Out,lights out,
387,List of deaths by decapitation,/wiki/List_of_deaths_by_decapitation,list of deaths by decapitation,
388,Little Monsters,/wiki/Little_Monsters,little monsters,
389,Little Shop of Horrors,/wiki/Little_Shop_of_Horrors,little shop of horrors,
390,Lone Wolf,/wiki/Lone_Wolf,lone wolf,
391,Look Away,/wiki/Look_Away,look away,
693,The Lost Boys,/wiki/The_Lost_Boys,lost boys,
392,Lumberjack Man,/wiki/Lumberjack_Man,lumberjack man,
393,Ma,/wiki/Ma,ma,
394,Ma (2019),/wiki/Ma_(2019),ma,2019
395,Magic,/wiki/Magic,magic,
396,Mandrake,/wiki/Mandrake,mandrake,
397,Mandy,/wiki/Mandy,mandy,
398,Maniac,/wiki/Maniac,maniac,
399,Maniac Cop,/wiki/Maniac_Cop,maniac cop,
400,Mansquito,/wiki/Mansquito,mansquito,
401,Mars Attacks!,/wiki/Mars_Attacks!,mars attacks,
402,Martin,/wiki/Martin,martin,
403,Massage Parlor of Death,/wiki/Massage_Parlor_of_Death,massage parlor of death,
404,Maximum Overdrive,/wiki/Maximum_Overdrive,maximum overdrive,
405,May,/wiki/May,may,
406,Mayhem,/wiki/Mayhem,mayhem,
694,The Meg,/wiki/The_Meg,meg,
407,Megalodon 2002,/wiki/Megalodon_2002,megalodon,2002
408,Metamorphosis The Alien Factor,/wiki/Metamorphosis_The_Alien_Factor,metamorphosis alien factor,
409,Michael Myers: The Blackest Eyes,/wiki/Michael_Myers:_The_Blackest_Eyes,michael myers blackest eyes,
410,Michael vs Jason: Evil Emerges,/wiki/Michael_vs_Jason:_Evil_Emerges,michael vs jason evil emerges,
411,Microwave Massacre,/wiki/Microwave_Massacre,microwave massacre,
412,Midsommar,/wiki/Midsommar,midsommar,
413,Mikey,/wiki/Mikey,mikey,
414,Million Dollar Crocodile,/wiki/Million_Dollar_Crocodile,million dollar crocodile,
415,Mindhunters,/wiki/Mindhunters,mindhunters,
416,Minotaur,/wiki/Minotaur,minotaur,
417,Mirrors,/wiki/Mirrors,mirrors,
418,Misery (1990),/wiki/Misery_(1990),misery,1990
695,The Mist,/wiki/The_Mist,mist,
419,Mom and Dad,/wiki/Mom_and_Dad,mom and dad,
420,Monster,/wiki/Monster,monster,
696,The Monster,/wiki/The_Monster,monster,
421,Monster House,/wiki/Monster_House,monster house,
422,Monster Makers,/wiki/Monster_Makers,monster makers,
697,The Monster Squad,/wiki/The_Monster_Squad,monster squad,
423,MonsterVerse,/wiki/MonsterVerse,monsterverse,
424,Mordeo,/wiki/Mordeo,mordeo,
425,Most Likely to Die,/wiki/Most_Likely_to_Die,most likely to die,
426,Motel Hell,/wiki/Motel_Hell,motel hell,
698,The Mother of Tears,/wiki/The_Mother_of_Tears,mother of tears,
427,Mother's Day,/wiki/Mother%27s_Day,mothers day,
428,Mothman,/wiki/Mothman,mothman,
429,Mountaintop Motel Massacre,/wiki/Mountaintop_Motel_Massacre,mountaintop motel massacre,
430,Ms .45,/wiki/Ms_.45,ms 45,
700,The Mummy (2017),/wiki/The_Mummy_(2017),mummy,2017
699,The Mummy,/wiki/The_Mummy,mummy,
701,The Mummy (Stephen Sommers),/wiki/The_Mummy_(Stephen_Sommers),mummy stephen sommers,
431,Murder Party,/wiki/Murder_Party,murder party,
432,Murderock,/wiki/Murderock,murderock,
433,Mutant Aliens,/wiki/Mutant_Aliens,mutant aliens,
702,The Mutilator,/wiki/The_Mutilator,mutilator,
434,My Bloody Valentine,/wiki/My_Bloody_Valentine,my bloody valentine,
435,My Little Eye,/wiki/My_Little_Eye,my little eye,
436,My Soul to Take,/wiki/My_Soul_to_Take,my soul to take,
437,Nail Gun Massacre,/wiki/Nail_Gun_Massacre,nail gun massacre,
438,Neighbor,/wiki/Neighbor,neighbor,
439,Neil Gorsuch's Little Judicary Shop of Horrors,/wiki/Neil_Gorsuch%27s_Little_Judicary_Shop_of_Horrors,neil gorsuchs little judicary shop of horrors,
440,Never Hike Alone,/wiki/Never_Hike_Alone,never hike alone,
441,New Year's Evil,/wiki/New_Year%27s_Evil,new years evil,
703,The New York Ripper,/wiki/The_New_York_Ripper,new york ripper,
442,Next of Kin,/wiki/Next_of_Kin,next of kin,
704,The Night Before Halloween,/wiki/The_Night_Before_Halloween,night before halloween,
705,The Night Brings Charlie,/wiki/The_Night_Brings_Charlie,night brings charlie,
706,The Night Evelyn Came Out of the Grave,/wiki/The_Night_Evelyn_Came_Out_of_the_Grave,night evelyn came out of grave,
443,Night of the Creeps,/wiki/Night_of_the_Creeps,night of creeps,
444,Night of the Demons,/wiki/Night_of_the_Demons,night of demons,
445,Night of the Lepus,/wiki/Night_of_the_Lepus,night of lepus,
446,Night of the Living Dead (1968),/wiki/Night_of_the_Living_Dead_(1968),night of living dead,1968
447,Nightmare,/wiki/Nightmare,nightmare,
448,Nobody Sleeps in the Woods Tonight,/wiki/Nobody_Sleeps_in_the_Woods_Tonight,nobody sleeps in woods tonight,
449,Noroi: The Curse,/wiki/Noroi:_The_Curse,noroi curse,
707,The Nun,/wiki/The_Nun,nun,
450,Nurse 3D,/wiki/Nurse_3D,nurse 3d,
451,Office,/wiki/Office,office,
452,Office Killer,/wiki/Office_Killer,office killer,
453,Ogre,/wiki/Ogre,ogre,
708,The Omen,/wiki/The_Omen,omen,
454,One Missed Call (American),/wiki/One_Missed_Call_(American),one missed call american,
455,One Missed Call Trilogy,/wiki/One_Missed_Call_Trilogy,one missed call trilogy,
456,Opera,/wiki/Opera,opera,
457,Orca: The Killer Whale,/wiki/Orca:_The_Killer_Whale,orca killer whale,
458,Orgasmo,/wiki/Orgasmo,orgasmo,
459,Orphan,/wiki/Orphan,orphan,
804,Otis,/wiki/Otis,otis,
460,Otis,/wiki/Otis,otis,
709,The Ouija Experiment,/wiki/The_Ouija_Experiment,ouija experiment,
805,Outside In,/wiki/Outside_In,outside in,
461,Outside In,/wiki/Outside_In,outside in,
806,Pacific Rim,/wiki/Pacific_Rim,pacific rim,
462,Pacific Rim,/wiki/Pacific_Rim,pacific rim,
463,Paganini Horror,/wiki/Paganini_Horror,paganini horror,
807,Paganini Horror,/wiki/Paganini_Horror,paganini horror,
464,Paranormal Activity,/wiki/Paranormal_Activity,paranormal activity,
808,Paranormal Activity,/wiki/Paranormal_Activity,paranormal activity,
465,Parasyte,/wiki/Parasyte,parasyte,
809,Parasyte,/wiki/Parasyte,parasyte,
810,Parents,/wiki/Parents,parents,
466,Parents,/wiki/Parents,parents,
467,Patrick,/wiki/Patrick,patrick,
811,Patrick,/wiki/Patrick,patrick,
812,Peeping Tom,/wiki/Peeping_Tom,peeping tom,
468,Peeping Tom,/wiki/Peeping_Tom,peeping tom,
813,Perfect Stranger,/wiki/Perfect_Stranger,perfect stranger,
469,Perfect Stranger,/wiki/Perfect_Stranger,perfect stranger,
814,Pet Semetary,/wiki/Pet_Semetary,pet semetary,
470,Pet Semetary,/wiki/Pet_Semetary,pet semetary,
815,Phantasm,/wiki/Phantasm,phantasm,
471,Phantasm,/wiki/Phantasm,phantasm,
816,Phantom of the Paradise,/wiki/Phantom_of_the_Paradise,phantom of paradise,
472,Phantom of the Paradise,/wiki/Phantom_of_the_Paradise,phantom of paradise,
817,Phantom Racer,/wiki/Phantom_Racer,phantom racer,
473,Phantom Racer,/wiki/Phantom_Racer,phantom racer,
474,Phase IV,/wiki/Phase_IV,phase iv,
818,Phase IV,/wiki/Phase_IV,phase iv,
819,Phenomena,/wiki/Phenomena,phenomena,
475,Phenomena,/wiki/Phenomena,phenomena,
820,Pieces,/wiki/Pieces,pieces,
476,Pieces,/wiki/Pieces,pieces,
477,Pilgrim,/wiki/Pilgrim,pilgrim,
821,Pilgrim,/wiki/Pilgrim,pilgrim,
822,Piranha Sharks,/wiki/Piranha_Sharks,piranha sharks,
478,Piranha Sharks,/wiki/Piranha_Sharks,piranha sharks,
823,Polaroid,/wiki/Polaroid,polaroid,
479,Polaroid,/wiki/Polaroid,polaroid,
480,Poltergeist,/wiki/Poltergeist,poltergeist,
824,Poltergeist,/wiki/Poltergeist,poltergeist,
825,Pool Party Massacre,/wiki/Pool_Party_Massacre,pool party massacre,
481,Pool Party Massacre,/wiki/Pool_Party_Massacre,pool party massacre,
826,Porno Holocaust,/wiki/Porno_Holocaust,porno holocaust,
482,Porno Holocaust,/wiki/Porno_Holocaust,porno holocaust,
710,The Possession of Hannah Grace,/wiki/The_Possession_of_Hannah_Grace,possession of hannah grace,
711,The Poughkeepsie Tapes (2007),/wiki/The_Poughkeepsie_Tapes_(2007),poughkeepsie tapes,2007
827,Poultrygeist: Night of the Chicken Dead,/wiki/Poultrygeist:_Night_of_the_Chicken_Dead,poultrygeist night of chicken dead,
483,Poultrygeist: Night of the Chicken Dead,/wiki/Poultrygeist:_Night_of_the_Chicken_Dead,poultrygeist night of chicken dead,
828,Predator,/wiki/Predator,predator,
484,Predator,/wiki/Predator,predator,
829,President's Day,/wiki/President%27s_Day,presidents day,
485,President's Day,/wiki/President%27s_Day,presidents day,
486,Prince of Darkness,/wiki/Prince_of_Darkness,prince of darkness,
830,Prince of Darkness,/wiki/Prince_of_Darkness,prince of darkness,
831,Prometheus,/wiki/Prometheus,prometheus,
487,Prometheus,/wiki/Prometheus,prometheus,
488,Prophecy,/wiki/Prophecy,prophecy,
832,Prophecy,/wiki/Prophecy,prophecy,
833,Proteus,/wiki/Proteus,proteus,
489,Proteus,/wiki/Proteus,proteus,
712,The Prowler,/wiki/The_Prowler,prowler,
490,Psycho,/wiki/Psycho,psycho,
834,Psycho,/wiki/Psycho,psycho,
835,Puppet Master,/wiki/Puppet_Master,puppet master,
491,Puppet Master,/wiki/Puppet_Master,puppet master,
713,The Purge,/wiki/The_Purge,purge,
492,Quarantine,/wiki/Quarantine,quarantine,
836,Quarantine,/wiki/Quarantine,quarantine,
714,The Quiet Room,/wiki/The_Quiet_Room,quiet room,
837,Rabid,/wiki/Rabid,rabid,
493,Rabid,/wiki/Rabid,rabid,
838,Rattlers,/wiki/Rattlers,rattlers,
494,Rattlers,/wiki/Rattlers,rattlers,
839,RawHead Rex,/wiki/RawHead_Rex,rawhead rex,
495,RawHead Rex,/wiki/RawHead_Rex,rawhead rex,
840,Razorback,/wiki/Razorback,razorback,
496,Razorback,/wiki/Razorback,razorback,
497,Re-Animator,/wiki/Re-Animator,re animator,
841,Re-Animator,/wiki/Re-Animator,re animator,
842,Ready or Not,/wiki/Ready_or_Not,ready or not,
498,Ready or Not,/wiki/Ready_or_Not,ready or not,
843,REC,/wiki/REC,rec,
499,REC,/wiki/REC,rec,
715,The Red Queen Kills 7 Times,/wiki/The_Red_Queen_Kills_7_Times,red queen kills 7 times,
716,The Refrigerator,/wiki/The_Refrigerator,refrigerator,
844,Reptilicus,/wiki/Reptilicus,reptilicus,
500,Reptilicus,/wiki/Reptilicus,reptilicus,
845,Reptisaurus,/wiki/Reptisaurus,reptisaurus,
501,Reptisaurus,/wiki/Reptisaurus,reptisaurus,
502,Repulsion,/wiki/Repulsion,repulsion,
846,Repulsion,/wiki/Repulsion,repulsion,
847,Resident Evil,/wiki/Resident_Evil,resident evil,
503,Resident Evil,/wiki/Resident_Evil,resident evil,
504,Return of the Living Dead,/wiki/Return_of_the_Living_Dead,return of living dead,
848,Return of the Living Dead,/wiki/Return_of_the_Living_Dead,return of living dead,
505,Richard III,/wiki/Richard_III,richard iii,
849,Richard III,/wiki/Richard_III,richard iii,
717,The Ring,/wiki/The_Ring,ring,
850,Ringu,/wiki/Ringu,ringu,
506,Ringu,/wiki/Ringu,ringu,
851,Rituals,/wiki/Rituals,rituals,
507,Rituals,/wiki/Rituals,rituals,
718,The Rocky Horror Picture Show,/wiki/The_Rocky_Horror_Picture_Show,rocky horror picture show,
719,The Rocky Horror Picture Show (2016),/wiki/The_Rocky_Horror_Picture_Show_(2016),rocky horror picture show,2016
852,Rogue,/wiki/Rogue,rogue,
508,Rogue,/wiki/Rogue,rogue,
509,Rosemary's Baby,/wiki/Rosemary%27s_Baby,rosemarys baby,
853,Rosemary's Baby,/wiki/Rosemary%27s_Baby,rosemarys baby,
854,Rottweiler,/wiki/Rottweiler,rottweiler,
510,Rottweiler,/wiki/Rottweiler,rottweiler,
511,Rubber,/wiki/Rubber,rubber,
855,Rubber,/wiki/Rubber,rubber,
720,The Ruins,/wiki/The_Ruins,ruins,
512,Sadako vs Kayako,/wiki/Sadako_vs_Kayako,sadako vs kayako,
856,Sadako vs Kayako,/wiki/Sadako_vs_Kayako,sadako vs kayako,
721,The Sand,/wiki/The_Sand,sand,
513,Sand Sharks,/wiki/Sand_Sharks,sand sharks,
857,Sand Sharks,/wiki/Sand_Sharks,sand sharks,
858,Santa Jaws,/wiki/Santa_Jaws,santa jaws,
514,Santa Jaws,/wiki/Santa_Jaws,santa jaws,
859,Santa Sangre,/wiki/Santa_Sangre,santa sangre,
515,Santa Sangre,/wiki/Santa_Sangre,santa sangre,
860,Santa's Slay,/wiki/Santa%27s_Slay,santas slay,
516,Santa's Slay,/wiki/Santa%27s_Slay,santas slay,
861,Sasquatch Hunters,/wiki/Sasquatch_Hunters,sasquatch hunters,
517,Sasquatch Hunters,/wiki/Sasquatch_Hunters,sasquatch hunters,
862,Satan's Little Helper,/wiki/Satan%27s_Little_Helper,satans little helper,
518,Satan's Little Helper,/wiki/Satan%27s_Little_Helper,satans little helper,
519,Saturday the 14th,/wiki/Saturday_the_14th,saturday 14th,
863,Saturday the 14th,/wiki/Saturday_the_14th,saturday 14th,
864,Sausage Party,/wiki/Sausage_Party,sausage party,
520,Sausage Party,/wiki/Sausage_Party,sausage party,
865,Saw,/wiki/Saw,saw,
521,Saw,/wiki/Saw,saw,
522,Scanners,/wiki/Scanners,scanners,
866,Scanners,/wiki/Scanners,scanners,
523,Scarecrows,/wiki/Scarecrows,scarecrows,
867,Scarecrows,/wiki/Scarecrows,scarecrows,
868,Scared Stiff,/wiki/Scared_Stiff,scared stiff,
524,Scared Stiff,/wiki/Scared_Stiff,scared stiff,
869,Scary Movie (Film Series),/wiki/Scary_Movie_(Film_Series),scary movie film series,
525,Scary Movie (Film Series),/wiki/Scary_Movie_(Film_Series),scary movie film series,
870,Scary Stories To Tell In The Dark,/wiki/Scary_Stories_To_Tell_In_The_Dark,scary stories to tell in dark,
526,Scary Stories To Tell In The Dark,/wiki/Scary_Stories_To_Tell_In_The_Dark,scary stories to tell in dark,
871,Schizo,/wiki/Schizo,schizo,
527,Schizo,/wiki/Schizo,schizo,
528,Scooby Doo,/wiki/Scooby_Doo,scooby doo,
872,Scooby Doo,/wiki/Scooby_Doo,scooby doo,
873,Scooby Doo 2: Monsters Unleashed,/wiki/Scooby_Doo_2:_Monsters_Unleashed,scooby doo 2 monsters unleashed,
529,Scooby Doo 2: Monsters Unleashed,/wiki/Scooby_Doo_2:_Monsters_Unleashed,scooby doo 2 monsters unleashed,
530,Scout's Guide to the Zombie Apocalypse,/wiki/Scout%27s_Guide_to_the_Zombie_Apocalypse,scouts guide to zombie apocalypse,
874,Scout's Guide to the Zombie Apocalypse,/wiki/Scout%27s_Guide_to_the_Zombie_Apocalypse,scouts guide to zombie apocalypse,
875,Scream (Film Series),/wiki/Scream_(Film_Series),scream film series,
531,Scream (Film Series),/wiki/Scream_(Film_Series),scream film series,
876,Scream (TV series),/wiki/Scream_(TV_series),scream tv series,
532,Scream (TV series),/wiki/Scream_(TV_series),scream tv series,
877,Se7en,/wiki/Se7en,se7en,
533,Se7en,/wiki/Se7en,se7en,
534,Secret Window,/wiki/Secret_Window,secret window,
878,Secret Window,/wiki/Secret_Window,secret window,
879,See No Evil,/wiki/See_No_Evil,see no evil,
535,See No Evil,/wiki/See_No_Evil,see no evil,
536,Serial Killing 101,/wiki/Serial_Killing_101,serial killing 101,
880,Serial Killing 101,/wiki/Serial_Killing_101,serial killing 101,
881,Serial Mom,/wiki/Serial_Mom,serial mom,
537,Serial Mom,/wiki/Serial_Mom,serial mom,
722,The Serpent and the Rainbow,/wiki/The_Serpent_and_the_Rainbow,serpent and rainbow,
538,Seven Psychopaths,/wiki/Seven_Psychopaths,seven psychopaths,
882,Seven Psychopaths,/wiki/Seven_Psychopaths,seven psychopaths,
883,Shadows of the Dead,/wiki/Shadows_of_the_Dead,shadows of dead,
539,Shadows of the Dead,/wiki/Shadows_of_the_Dead,shadows of dead,
884,Shapeshifter,/wiki/Shapeshifter,shapeshifter,
540,Shapeshifter,/wiki/Shapeshifter,shapeshifter,
885,Shark Hunter,/wiki/Shark_Hunter,shark hunter,
541,Shark Hunter,/wiki/Shark_Hunter,shark hunter,
886,Shark Lake,/wiki/Shark_Lake,shark lake,
542,Shark Lake,/wiki/Shark_Lake,shark lake,
543,Shark Movies,/wiki/Shark_Movies,shark movies,
887,Shark Movies,/wiki/Shark_Movies,shark movies,
888,Shark Night,/wiki/Shark_Night,shark night,
544,Shark Night,/wiki/Shark_Night,shark night,
889,Sharknado,/wiki/Sharknado,sharknado,
545,Sharknado,/wiki/Sharknado,sharknado,
890,Sharktopus,/wiki/Sharktopus,sharktopus,
546,Sharktopus,/wiki/Sharktopus,sharktopus,
891,Shaun of the Dead,/wiki/Shaun_of_the_Dead,shaun of dead,
547,Shaun of the Dead,/wiki/Shaun_of_the_Dead,shaun of dead,
723,The She-Creature,/wiki/The_She-Creature,she creature,
724,The Shining (1980),/wiki/The_Shining_(1980),shining,1980
892,Shion Sonozaki's Unquenchable Blood Lust,/wiki/Shion_Sonozaki%27s_Unquenchable_Blood_Lust,shion sonozakis unquenchable blood lust,
548,Shion Sonozaki's Unquenchable Blood Lust,/wiki/Shion_Sonozaki%27s_Unquenchable_Blood_Lust,shion sonozakis unquenchable blood lust,
893,Shirley,/wiki/Shirley,shirley,
549,Shirley,/wiki/Shirley,shirley,
894,Shock Waves,/wiki/Shock_Waves,shock waves,
550,Shock Waves,/wiki/Shock_Waves,shock waves,
895,Shocker,/wiki/Shocker,shocker,
551,Shocker,/wiki/Shocker,shocker,
552,Shredder,/wiki/Shredder,shredder,
896,Shredder,/wiki/Shredder,shredder,
553,Shriek If You Know What I Did Last Friday the 13th,/wiki/Shriek_If_You_Know_What_I_Did_Last_Friday_the_13th,shriek if you know what i did last friday 13th,
897,Shriek If You Know What I Did Last Friday the 13th,/wiki/Shriek_If_You_Know_What_I_Did_Last_Friday_the_13th,shriek if you know what i did last friday 13th,
554,Silent Hill,/wiki/Silent_Hill,silent hill,
898,Silent Hill,/wiki/Silent_Hill,silent hill,
555,Silent Hill (films),/wiki/Silent_Hill_(films),silent hill films,
899,Silent Hill (films),/wiki/Silent_Hill_(films),silent hill films,
900,Silent Night,/wiki/Silent_Night,silent night,
556,Silent Night,/wiki/Silent_Night,silent night,
557,"Silent Night, Bloody Night","/wiki/Silent_Night,_Bloody_Night",silent night bloody night,
901,"Silent Night, Bloody Night","/wiki/Silent_Night,_Bloody_Night",silent night bloody night,
558,"Silent Night, Deadly Night","/wiki/Silent_Night,_Deadly_Night",silent night deadly night,
902,"Silent Night, Deadly Night","/wiki/Silent_Night,_Deadly_Night",silent night deadly night,
903,Silver Bullet,/wiki/Silver_Bullet,silver bullet,
559,Silver Bullet,/wiki/Silver_Bullet,silver bullet,
904,Sinister,/wiki/Sinister,sinister,
560,Sinister,/wiki/Sinister,sinister,
725,The Sixth Sense (1999),/wiki/The_Sixth_Sense_(1999),sixth sense,1999
905,Skeleton Man,/wiki/Skeleton_Man,skeleton man,
561,Skeleton Man,/wiki/Skeleton_Man,skeleton man,
562,Slaughter High,/wiki/Slaughter_High,slaughter high,
906,Slaughter High,/wiki/Slaughter_High,slaughter high,
563,Sleepaway Camp,/wiki/Sleepaway_Camp,sleepaway camp,
907,Sleepaway Camp,/wiki/Sleepaway_Camp,sleepaway camp,
908,Slender Man (film),/wiki/Slender_Man_(film),slender man film,
564,Slender Man (film),/wiki/Slender_Man_(film),slender man film,
565,Slime City,/wiki/Slime_City,slime city,
909,Slime City,/wiki/Slime_City,slime city,
910,Slither,/wiki/Slither,slither,
566,Slither,/wiki/Slither,slither,
567,Slumber Party Massacre,/wiki/Slumber_Party_Massacre,slumber party massacre,
911,Slumber Party Massacre,/wiki/Slumber_Party_Massacre,slumber party massacre,
726,The Slumber Party Massacre,/wiki/The_Slumber_Party_Massacre,slumber party massacre,
912,Small Soldiers,/wiki/Small_Soldiers,small soldiers,
568,Small Soldiers,/wiki/Small_Soldiers,small soldiers,
913,Smiley,/wiki/Smiley,smiley,
569,Smiley,/wiki/Smiley,smiley,
914,Snakes on a Train,/wiki/Snakes_on_a_Train,snakes on a train,
570,Snakes on a Train,/wiki/Snakes_on_a_Train,snakes on a train,
915,Snatchers,/wiki/Snatchers,snatchers,
571,Snatchers,/wiki/Snatchers,snatchers,
727,The Snowman,/wiki/The_Snowman,snowman,
572,Society,/wiki/Society,society,
916,Society,/wiki/Society,society,
917,Some Guy Who Kills People,/wiki/Some_Guy_Who_Kills_People,some guy who kills people,
573,Some Guy Who Kills People,/wiki/Some_Guy_Who_Kills_People,some guy who kills people,
574,Somebody Help Me,/wiki/Somebody_Help_Me,somebody help me,
918,Somebody Help Me,/wiki/Somebody_Help_Me,somebody help me,
919,Sorority House Massacre,/wiki/Sorority_House_Massacre,sorority house massacre,
575,Sorority House Massacre,/wiki/Sorority_House_Massacre,sorority house massacre,
920,Sorority Party Massacre,/wiki/Sorority_Party_Massacre,sorority party massacre,
576,Sorority Party Massacre,/wiki/Sorority_Party_Massacre,sorority party massacre,
577,Sorority Row,/wiki/Sorority_Row,sorority row,
921,Sorority Row,/wiki/Sorority_Row,sorority row,
