,Title,Year,Plot,Director(s),Star(s),Decade
7494,Cold Moon,2016,"From Michael McDowell, the writer of Beetlejuice (1988) and The Nightmare Before Christmas (1993), comes a chilling tale of supernatural vengeance.",Griff Furst,"Josh Stewart, Candy Clark, Robbie Kay, Frank Whaley",2010
7793,Christmas with Cookie,2016,In the year 3978 global warming has made a desert of the North Pole. Santa and Mrs. Claus battle angry skeletons who didn't get what they wanted for Christmas. Evil aliens try to take over the world and a giant abominable snow man wants Santa for his next meal.,"Shawn Schminke, Alan Maxson","Alan Maxson, Dana Austen, Justin Armao, Breeanna Judy",2010
7835,Black Christmas: The Night Billy Came Home,2016,"Black Christmas: The Night Billy Came Home is a Black Christmas (1974) sequel, based in a world of reality where the sorority of Phi Kappa Sigma is being stalked and preyed upon an unknown killer.",John Sackett,"Allison Delk, Marilyn Thomas, Elyssia Thomas, Vincent Angel",2010
7856,Cannibal Claus,2016,It's Christmas Eve and Santa is out and about spreading joy...with a hatchet and some BBQ skewers. Cannibal Claus is the modern tale of a mall Santa Claus who is down on his luck at ...                See full summary »,Sean Donohue,"Bob Glazier, Alberto Giovannelli, Mady Giovannelli, Lucio Giovannelli",2010
8321,The Yearly Harvest,2017,"A young journalist named Jin Maddison has traced the origin of many Christmas traditions to a remote town in the Midwest called Selah, where the holiday holds a much darker, more disturbing meaning.",Ryan Callaway,"Tiffany Browne-Tavarez, Linda McLaughlin, Adison Eisenberg, Victoria Guthrie",2010
8487,Deadwood Falls,2017,"The town of Deadwood Falls is no more. On Christmas Eve 2003, all 479 men, women and children simply disappeared overnight. There were no footprints into or out of the snowbound town. ...                See full summary »",Brian Holcomb,"Gina Martino, Jeff Alchine, Kevin Baumann, John Boggi",2010
8533,Killer Christmas,I) (2017,A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask.,"Tony Shaker, PeterPaul Shaker","Malcolm Xavier, Freya Lund, Sherry Shaker, PeterPaul Shaker",I) 0
8544,Mercy Christmas,2017,"When Michael Briskett meets the perfect woman, his ideal Christmas dream comes true when she invites him to her family's holiday celebration. Dreams shattered, Michael struggles to survive once he realizes HE will be Christmas dinner.",Ryan Nelson,"Cole Gleason, David Ruprecht, Casey O'Keefe, Gwen Van Dam",2010
8575,Sugarplum,2017,"Harry and Marv accidentally bring a vicious, blood-drinking Sugarplum Fairy to life on Christmas Eve.",Brandon Tobatto,"Josiah Liciaga, Samuel David Sosa, Jocelyn Gompers, Sierra McConell",2010
8781,Secret Santa,I) (2018,"Christmas dinner brings tidings of death when someone enacts revenge, and out of the bloody madness rises a hero who must face all odds to stop an outbreak before it's too late.",Adam Marcus,"Michael Rady, Drew Lynch, Debra Sullivan, A Leslie Kies",I) 0
8825,Mrs. Claus,2018,A group of college students attending a Christmas party at a sorority house that has a sinister past are stalked by a bloodthirsty killer disguised as Mrs. Claus.,Troy Escamilla,"Brinke Stevens, Helene Udy, Kaylee Williams, Bradley William Smith",2010
8830,All the Creatures Were Stirring,2018,"When an awkward date on Christmas Eve leads a couple into a strange theater, they're treated to a bizarre and frightening collection of Christmas stories, featuring a wide ensemble of characters doing their best to avoid the horrors of the holidays. From boring office parties and last-minute shopping, to vengeful stalkers and immortal demons, there's plenty out there to fear this holiday season.","Rebekah McKendry, David Ian McKendry","Constance Wu, Jonathan Kite, Jocelin Donahue, Ashley Clements",2010
8884,Sick for Toys,2018,"""Roy (David Gunning) is the nice guy who finishes last. Sick of his current situation, he accepts an invitation to have Christmas dinner with the beautiful and strangely alluring Emilia (...                See full summary »",David Del Rio,"Camille Montgomery, Jon Paul Burkhart, Justin Xavier, David Gunning",2010
8887,Lake Alice,2018,"The Thomas family goes out to their cabin in the woods to celebrate Christimas together with their daughter and her boyfriend, but their first Christmas together may be their last.",Ben Milliken,"Brando Eaton, Peter O'Brien, Michael Shamus Wiles, Laura Niemi",2010
8957,James Jones and the Haunted Christmas,2018,"James Jones is paid to watch his granddaughter, Isabella Jones for Christmas. However, what starts off as a normal day will soon turn into the day of Hell.",Javian Jones,"Charles Ellis Darby, Da'Corius Jones, Javian Jones, Delquavius Shinholster",2010
9009,Santa Jaws,2018,"Trying to survive the family Christmas, Cody makes a wish to be alone, which ends up backfiring when a shark manifests and kills his entire family.",Misty Talley,"Reid Miller, Courtney Lauren Cummings, Jim Klock, Carrie Lazar",2010
9107,Dead by Christmas,2018,"Reunited for the holidays, a group of friends raised together in a troubled Louisiana orphanage are stalked by a killer from Christmas Past.",Armand Petri,"Holly Bonney, Dawn Streeck, McKenna Buck, Cody Wise",2010
9186,American Exorcist,2018,"A paranormal investigator, trapped in a haunted skyscraper on Christmas Eve. The skeptical young woman, Georgette Dubois, is horrified once confronted with the reality of the supernatural. ...                See full summary »","Johnny Zito, Tony Trov","Bill Moseley, Gemma McIlhenny, John McKeever, Jo Anna Van Thuyne",2010
9233,Mother Krampus 2: Slay Ride,2018,"It's Christmas time in Cleveland, Ohio and four young ladies are on the verge of completing their mandatory thirty days of community service. With only one night to go, they are required to...                See full summary »",Eddie Lengyel,"KateLynn E. Newberry, Tiffani Hilton, Robbie Barnes, Roger Conners",2010
9256,Ugly Sweater Party,2018,An ugly sweater party turns into a bloodbath when an evil Christmas sweater possesses one of the partygoers.,Aaron Mento,"Sean Whalen, Felissa Rose, Kevin Caliber, Jennifer Nangle",2010
9276,Slay Belles,2018,"It's Christmas Eve, and three cosplaying women come across the malevolent Christmas demon Krampus. The girls must team up with Santa Claus himself to battle the creature and save the world.",Dan Walker,"Barry Bostwick, Kristina Klebe, Susan Slaughter, Hannah Minx",2010
9344,Madness Descending,2018,"Devin and Kelly encounter Devin's landlord one cold night during the Christmas season in a strange and mysterious way. He'll soon discover, the mind is a much more powerful tool then he knows.",Jimmy Cenci,"Robert Ackerman Moss, Jack Grubb, Michelle Howarth",2010
9508,I Trapped the Devil,2019,"A man descends into paranoia after trapping what he believes to be the devil in his basement, but things take a dark turn when his family unexpectedly arrive for Christmas.",Josh Lobo,"Scott Poythress, AJ Bowen, Susan Burke, Rowan Russell",2010
9928,Giftwrapped & Gutted,2019,"Fired from his job, a drunk department store Santa stalks and kills ""wet t-shirt"" babes having a Christmas party.",Gary Whitson,"Melissa Cannavo-Marino, Jason Pollock, Debbie D, Miss Pandora",2010
9939,Black Christmas,2019,A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.,Sophia Takal,"Imogen Poots, Aleyse Shannon, Lily Donoghue, Brittany O'Grady",2010
